FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
STRIPE82_0071,Calibration_XPSP_GALEX_0,20.8844,20.2585,20.2885,21.2008,21.3396,23.65,21.5848,23.6712,21.1391,23.4255,21.6877,22.8794
STRIPE82_0071,Calibration_XPSP,20.8803,20.2589,20.2889,21.2012,21.34,23.6504,21.5852,23.6716,21.1395,23.4259,21.6881,22.8798
STRIPE82_0071,Calibration_Utest1_iDR5_3_Main,20.9279,20.2616,20.2916,21.2039,21.3427,23.6531,21.5879,23.6743,21.1422,23.4286,21.6908,22.8825
STRIPE82_0071,Calibration_iDR5_3_Main,20.8872,20.2616,20.2916,21.2039,21.3427,23.6531,21.5879,23.6743,21.1422,23.4286,21.6908,22.8825
STRIPE82_0071,Calibration_Utest2_iDR5_3_Main,20.9174,20.2616,20.2916,21.2039,21.3427,23.6531,21.5879,23.6743,21.1422,23.4286,21.6908,22.8825
STRIPE82_0072,Calibration_XPSP_0,20.83613,20.22003,20.26243,21.16703,21.31123,23.62483,21.56263,23.65193,21.12593,23.40183,21.67813,22.83313
STRIPE82_0072,Calibration_XPSP_GAIA3,20.8265,20.2192,20.2616,21.1662,21.3104,23.624,21.5618,23.6511,21.1251,23.401,21.6773,22.8323
STRIPE82_0072,Calibration_XPSP_GALEX_0,20.84007,20.21737,20.25977,21.16437,21.30857,23.62217,21.55997,23.64927,21.12327,23.39917,21.67547,22.83047
STRIPE82_0072,Calibration_XPSP,20.83613,20.22003,20.26243,21.16703,21.31123,23.62483,21.56263,23.65193,21.12593,23.40183,21.67813,22.83313
STRIPE82_0072,Calibration_Utest1_iDR5_3_Main,20.8686,20.2238,20.2662,21.1708,21.315,23.6286,21.5664,23.6557,21.1297,23.4056,21.6819,22.8369
STRIPE82_0072,Calibration_iDR5_3_Main,20.8311,20.2238,20.2662,21.1708,21.315,23.6286,21.5664,23.6557,21.1297,23.4056,21.6819,22.8369
STRIPE82_0072,Calibration_Utest2_iDR5_3_Main,20.8655,20.2238,20.2662,21.1708,21.315,23.6286,21.5664,23.6557,21.1297,23.4056,21.6819,22.8369
STRIPE82_0073,Calibration_XPSP_0,20.87143,20.25673,20.29453,21.19433,21.33833,23.64233,21.57813,23.66643,21.13183,23.41953,21.68403,22.86223
STRIPE82_0073,Calibration_XPSP_GAIA3,20.86543,20.25593,20.29373,21.19353,21.33753,23.64153,21.57733,23.66563,21.13103,23.41873,21.68323,22.86143
STRIPE82_0073,Calibration_XPSP_GALEX_0,20.8774,20.258,20.2958,21.1956,21.3396,23.6436,21.5794,23.6677,21.1331,23.4208,21.6853,22.8635
STRIPE82_0073,Calibration_XPSP,20.87143,20.25673,20.29453,21.19433,21.33833,23.64233,21.57813,23.66643,21.13183,23.41953,21.68403,22.86223
STRIPE82_0073,Calibration_Utest1_iDR5_3_Main,20.9087,20.2593,20.2971,21.1969,21.3409,23.6449,21.5807,23.669,21.1344,23.4221,21.6866,22.8648
STRIPE82_0073,Calibration_iDR5_3_Main,20.8688,20.2593,20.2971,21.1969,21.3409,23.6449,21.5807,23.669,21.1344,23.4221,21.6866,22.8648
STRIPE82_0073,Calibration_Utest2_iDR5_3_Main,20.9037,20.2593,20.2971,21.1969,21.3409,23.6449,21.5807,23.669,21.1344,23.4221,21.6866,22.8648
STRIPE82_0075,Calibration_XPSP_0,20.89497,20.25047,20.29337,21.19887,21.34337,23.65307,21.58827,23.66547,21.13167,23.39907,21.68037,22.81547
STRIPE82_0075,Calibration_XPSP_GAIA3,20.88907,20.24967,20.29257,21.19807,21.34257,23.65227,21.58747,23.66467,21.13087,23.39827,21.67957,22.81467
