FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
HYDRA-D-0003,Calibration_iDR5_3_Main,0.0051,0.0025,0.0014
HYDRA-D-0004,Calibration_iDR5_3_Main,0.0047,0.0026,0.0018
HYDRA_0012,Calibration_XPSP_GAIA3,0.0002,-0.0004,-0.0005
HYDRA_0012,Calibration_XPSP,0.0024,-0.0006,-0.0029
HYDRA_0012,Calibration_iDR5_3_Main,0.0002,-0.0004,-0.0005
HYDRA_0013,Calibration_XPSP_GAIA3,0.0023,0.0021,0.0017
HYDRA_0013,Calibration_XPSP,0.005,0.0023,0.0001
HYDRA_0013,Calibration_iDR5_3_Main,0.0023,0.0021,0.0017
HYDRA_0014,Calibration_XPSP_GAIA3,0.0026,0.002,0.0017
HYDRA_0014,Calibration_XPSP,0.0043,0.0016,-0.0001
HYDRA_0014,Calibration_iDR5_3_Main,0.0026,0.002,0.0017
HYDRA_0015,Calibration_XPSP_GAIA3,0.0027,0.003,0.003
HYDRA_0015,Calibration_XPSP,0.0059,0.0031,0.0004
HYDRA_0015,Calibration_iDR5_3_Main,0.0027,0.003,0.003
HYDRA_0016,Calibration_XPSP_GAIA3,0.0029,0.0031,0.0021
HYDRA_0016,Calibration_XPSP,0.0051,0.0027,-0.0003
HYDRA_0016,Calibration_iDR5_3_Main,0.0029,0.0031,0.0021
HYDRA_0017,Calibration_XPSP_GAIA3,0.0028,0.0025,0.0009
HYDRA_0017,Calibration_XPSP,0.0039,0.001,-0.0019
HYDRA_0017,Calibration_iDR5_3_Main,0.0028,0.0025,0.0009
HYDRA_0018,Calibration_XPSP_GAIA3,0.008,0.0049,-0.0019
HYDRA_0018,Calibration_XPSP,0.0085,0.0036,-0.0035
HYDRA_0018,Calibration_iDR5_3_Main,0.008,0.0049,-0.0019
HYDRA_0019,Calibration_XPSP_GAIA3,0.0068,0.0024,-0.0029
HYDRA_0019,Calibration_XPSP,0.0069,0.0022,-0.0039
HYDRA_0019,Calibration_iDR5_3_Main,0.0068,0.0024,-0.0029
HYDRA_0020,Calibration_XPSP_GAIA3,0.007,0.0037,0.0005
HYDRA_0020,Calibration_XPSP,0.0075,0.0035,-0.0011
HYDRA_0020,Calibration_iDR5_3_Main,0.007,0.0037,0.0005
HYDRA_0022,Calibration_XPSP_GAIA3,0.0027,0.0019,0.0014
HYDRA_0022,Calibration_XPSP,0.0042,0.0014,-0.0008
HYDRA_0022,Calibration_iDR5_3_Main,0.0027,0.0019,0.0014
HYDRA_0023,Calibration_XPSP_GAIA3,0.0037,0.003,0.0015
HYDRA_0023,Calibration_XPSP,0.0049,0.0025,-0.0002
HYDRA_0023,Calibration_iDR5_3_Main,0.0037,0.003,0.0015
HYDRA_0024,Calibration_XPSP_GAIA3,0.0036,0.0037,0.0015
HYDRA_0024,Calibration_XPSP,0.0056,0.0034,0.0005
HYDRA_0024,Calibration_iDR5_3_Main,0.0036,0.0037,0.0015
HYDRA_0025,Calibration_XPSP_GAIA3,0.0028,0.0037,0.0026
HYDRA_0025,Calibration_XPSP,0.0038,0.0025,0.0004
HYDRA_0025,Calibration_iDR5_3_Main,0.0028,0.0037,0.0026
HYDRA_0026,Calibration_XPSP_GAIA3,0.0107,0.0075,0.0023
HYDRA_0026,Calibration_XPSP,0.0129,0.0074,0.0005
HYDRA_0026,Calibration_iDR5_3_Main,0.0107,0.0075,0.0023
HYDRA_0027,Calibration_XPSP_GAIA3,0.002,0.0023,0.0017
HYDRA_0027,Calibration_XPSP,0.004,0.0016,-0.0011
HYDRA_0027,Calibration_iDR5_3_Main,0.002,0.0023,0.0017
HYDRA_0028,Calibration_iDR5_3_Main,0.0049,0.0022,0.0006
HYDRA_0029,Calibration_XPSP_GAIA3,0.0052,0.0027,0.0004
HYDRA_0029,Calibration_iDR5_3_Main,0.0052,0.0027,0.0004
HYDRA_0030,Calibration_iDR5_3_Main,0.0033,0.002,0.001
HYDRA_0032,Calibration_iDR5_3_Main,0.0047,0.0028,0.0016
HYDRA_0033,Calibration_XPSP_GAIA3,0.0038,0.0027,0.0017
HYDRA_0033,Calibration_iDR5_3_Main,0.0038,0.0027,0.0017
HYDRA_0034,Calibration_iDR5_3_Main,0.0028,0.0029,0.0022
HYDRA_0038,Calibration_XPSP_GAIA3,0.0054,0.0042,0.0029
HYDRA_0038,Calibration_iDR5_3_Main,0.0054,0.0042,0.0029
HYDRA_0040,Calibration_XPSP_GAIA3,0.0041,0.0021,0.0016
HYDRA_0040,Calibration_iDR5_3_Main,0.0041,0.0021,0.0016
HYDRA_0042,Calibration_XPSP_GAIA3,0.0038,0.0028,0.0013
HYDRA_0042,Calibration_iDR5_3_Main,0.0038,0.0028,0.0013
HYDRA_0043,Calibration_XPSP_GAIA3,0.006,0.0057,0.0031
HYDRA_0043,Calibration_iDR5_3_Main,0.006,0.0057,0.0031
HYDRA_0046,Calibration_XPSP_GAIA3,0.0035,0.0019,0.0008
HYDRA_0046,Calibration_iDR5_3_Main,0.0035,0.0019,0.0008
HYDRA_0047,Calibration_iDR5_3_Main,0.0045,0.0035,0.0025
HYDRA_0049,Calibration_iDR5_3_Main,0.0048,0.0027,0.0016
HYDRA_0051,Calibration_XPSP_GAIA3,0.005,0.0024,0.0013
HYDRA_0051,Calibration_XPSP,0.0067,0.0026,-0.0006
HYDRA_0051,Calibration_iDR5_3_Main,0.005,0.0024,0.0013
HYDRA_0054,Calibration_XPSP_GAIA3,0.0035,0.0031,0.0025
HYDRA_0054,Calibration_XPSP,0.0052,0.003,0.0007
HYDRA_0054,Calibration_iDR5_3_Main,0.0035,0.0031,0.0025
HYDRA_0057,Calibration_iDR5_3_Main,0.0028,0.0027,0.0017
HYDRA_0058,Calibration_iDR5_3_Main,0.0044,0.0031,0.0016
HYDRA_0059,Calibration_XPSP_GAIA3,0.0041,0.0024,0.002
HYDRA_0059,Calibration_XPSP,0.0074,0.0028,0.0002
HYDRA_0059,Calibration_iDR5_3_Main,0.0041,0.0024,0.002
HYDRA_0060,Calibration_iDR5_3_Main,0.006,0.0034,0.0026
HYDRA_0063,Calibration_XPSP_GAIA3,0.0052,0.0062,0.0076
HYDRA_0063,Calibration_XPSP,0.0069,0.0061,0.0058
HYDRA_0063,Calibration_iDR5_3_Main,0.0052,0.0062,0.0076
HYDRA_0065,Calibration_XPSP_GAIA3,0.0041,0.0031,0.0014
HYDRA_0065,Calibration_XPSP,0.0063,0.0032,-0.0006
HYDRA_0065,Calibration_iDR5_3_Main,0.0041,0.0031,0.0014
HYDRA_0066,Calibration_XPSP_GAIA3,0.0034,0.003,0.002
HYDRA_0066,Calibration_XPSP,0.0055,0.0026,-0.0
HYDRA_0066,Calibration_iDR5_3_Main,0.0034,0.003,0.002
HYDRA_0067,Calibration_XPSP_GAIA3,0.0031,0.0027,0.002
HYDRA_0067,Calibration_XPSP,0.0055,0.0029,-0.0005
HYDRA_0067,Calibration_iDR5_3_Main,0.0031,0.0027,0.002
HYDRA_0068,Calibration_iDR5_3_Main,0.0022,0.0009,-0.0001
HYDRA_0071,Calibration_XPSP_GAIA3,0.0053,0.0036,0.0022
HYDRA_0071,Calibration_XPSP,0.0074,0.0039,0.001
HYDRA_0071,Calibration_iDR5_3_Main,0.0053,0.0036,0.0022
HYDRA_0072,Calibration_XPSP_GAIA3,0.0046,0.0037,0.002
HYDRA_0072,Calibration_XPSP,0.0065,0.0034,-0.0003
HYDRA_0072,Calibration_iDR5_3_Main,0.0046,0.0037,0.002
HYDRA_0073,Calibration_XPSP_GAIA3,0.004,0.003,0.0016
HYDRA_0073,Calibration_XPSP,0.0068,0.0036,-0.0005
HYDRA_0073,Calibration_iDR5_3_Main,0.004,0.003,0.0016
HYDRA_0074,Calibration_XPSP_GAIA3,0.0034,0.0025,0.0019
HYDRA_0074,Calibration_XPSP,0.0062,0.0031,-0.0002
HYDRA_0074,Calibration_iDR5_3_Main,0.0034,0.0025,0.0019
HYDRA_0076,Calibration_XPSP_GAIA3,0.0041,0.0029,0.002
HYDRA_0076,Calibration_XPSP,0.0058,0.0033,-0.0005
HYDRA_0076,Calibration_iDR5_3_Main,0.0041,0.0029,0.002
HYDRA_0078,Calibration_XPSP_GAIA3,0.0049,0.003,0.0023
HYDRA_0078,Calibration_XPSP,0.0083,0.0043,0.0007
HYDRA_0078,Calibration_iDR5_3_Main,0.0049,0.003,0.0023
HYDRA_0079,Calibration_iDR5_3_Main,0.0021,0.0004,-0.0004
HYDRA_0080,Calibration_XPSP_GAIA3,0.0053,0.0031,0.0016
HYDRA_0080,Calibration_XPSP,0.0088,0.0039,-0.0008
HYDRA_0080,Calibration_iDR5_3_Main,0.0053,0.0031,0.0016
HYDRA_0081,Calibration_XPSP_GAIA3,0.0047,0.004,0.003
HYDRA_0081,Calibration_XPSP,0.0074,0.0037,0.0013
HYDRA_0081,Calibration_iDR5_3_Main,0.0047,0.004,0.003
HYDRA_0082,Calibration_iDR5_3_Main,0.0042,0.0025,0.0006
HYDRA_0083,Calibration_XPSP_GAIA3,0.0031,0.0028,0.0018
HYDRA_0083,Calibration_XPSP,0.0069,0.0033,-0.0001
HYDRA_0083,Calibration_iDR5_3_Main,0.0031,0.0028,0.0018
HYDRA_0087,Calibration_XPSP_GAIA3,0.0055,0.0024,0.0013
HYDRA_0087,Calibration_XPSP,0.01,0.0037,-0.0011
HYDRA_0087,Calibration_iDR5_3_Main,0.0055,0.0024,0.0013
HYDRA_0088,Calibration_XPSP_GAIA3,0.0061,0.0032,0.0014
HYDRA_0088,Calibration_XPSP,0.0097,0.0041,-0.0011
HYDRA_0088,Calibration_iDR5_3_Main,0.0061,0.0032,0.0014
HYDRA_0089,Calibration_XPSP_GAIA3,0.0051,0.0022,0.001
HYDRA_0089,Calibration_XPSP,0.0079,0.0035,-0.0012
HYDRA_0089,Calibration_iDR5_3_Main,0.0051,0.0022,0.001
HYDRA_0091,Calibration_XPSP_GAIA3,0.0055,0.0028,0.0014
HYDRA_0091,Calibration_XPSP,0.0074,0.0031,-0.0006
HYDRA_0091,Calibration_iDR5_3_Main,0.0055,0.0028,0.0014
HYDRA_0092,Calibration_XPSP_GAIA3,0.0043,0.0033,0.0016
