Field,ZP_gaiascale
SPLUS-n01s01,0.02
SPLUS-n01s19,0.02
SPLUS-n01s20,0.024
SPLUS-n01s21,0.021
SPLUS-n01s22,0.019
SPLUS-n01s23,0.02
SPLUS-n01s24,0.021
SPLUS-n01s25,0.019
SPLUS-n01s27,0.02
SPLUS-n01s37,0.022
SPLUS-n01s38,0.022
SPLUS-n02n01,0.018
SPLUS-n02n18,0.022
SPLUS-n02n19,0.02
SPLUS-n02n21,0.02
SPLUS-n02n22,0.022
SPLUS-n02n23,0.018
SPLUS-n02n24,0.02
SPLUS-n02n26,0.021
SPLUS-n02n27,0.019
SPLUS-n02n28,0.017
SPLUS-n02s21,0.022
SPLUS-n02s22,0.019
SPLUS-n02s23,0.018
SPLUS-n02s24,0.018
SPLUS-n02s25,0.019
SPLUS-n02s27,0.019
SPLUS-n02s28,0.017
SPLUS-n02s37,0.021
SPLUS-n02s38,0.019
SPLUS-n02s44,0.015
SPLUS-n03n01,0.018
SPLUS-n03s18,0.018
SPLUS-n03s19,0.017
SPLUS-n03s22,0.02
SPLUS-n03s23,0.019
SPLUS-n03s24,0.019
SPLUS-n03s25,0.019
SPLUS-n03s26,0.016
SPLUS-n03s27,0.015
SPLUS-n03s28,0.018
SPLUS-n03s43,0.019
SPLUS-n03s44,0.02
SPLUS-n04n01,0.023
SPLUS-n04s01,0.019
SPLUS-n04s02,0.021
SPLUS-n04s41,0.02
SPLUS-n04s42,0.024
SPLUS-n04s43,0.019
SPLUS-n04s44,0.022
SPLUS-n05n50,0.025
SPLUS-n05n53,0.019
SPLUS-n05n54,0.025
SPLUS-n05n55,0.026
SPLUS-n05s01,0.018
SPLUS-n05s02,0.019
SPLUS-n05s03,0.015
SPLUS-n05s43,0.022
SPLUS-n05s44,0.021
SPLUS-n05s45,0.023
SPLUS-n06s01,0.016
SPLUS-n06s02,0.016
SPLUS-n06s03,0.016
SPLUS-n06s40,0.019
SPLUS-n06s41,0.021
SPLUS-n06s42,0.02
SPLUS-n06s43,0.02
SPLUS-n06s44,0.021
SPLUS-n06s45,0.02
SPLUS-n07s01,0.016
SPLUS-n07s02,0.015
SPLUS-n07s03,0.019
SPLUS-n07s04,0.015
SPLUS-n07s38,0.019
SPLUS-n07s39,0.02
SPLUS-n07s40,0.018
SPLUS-n07s41,0.008
SPLUS-n07s42,0.01
SPLUS-n07s43,0.017
SPLUS-n07s44,0.018
SPLUS-n08s01,0.009
SPLUS-n08s02,0.014
SPLUS-n08s03,0.015
SPLUS-n08s04,0.019
SPLUS-n08s37,0.02
SPLUS-n08s38,0.016
SPLUS-n08s39,0.018
SPLUS-n08s40,0.017
SPLUS-n08s41,0.018
SPLUS-n08s42,0.017
SPLUS-n09s01,0.017
SPLUS-n09s02,0.018
SPLUS-n09s03,0.021
SPLUS-n09s04,0.017
SPLUS-n09s05,0.017
SPLUS-n09s36,0.019
SPLUS-n09s40,0.017
SPLUS-n09s41,0.016
SPLUS-n09s42,0.018
SPLUS-n09s43,0.015
SPLUS-n09s44,0.017
SPLUS-n10s01,0.016
SPLUS-n10s02,0.012
SPLUS-n10s03,0.017
SPLUS-n10s17,0.013
SPLUS-n10s34,0.017
SPLUS-n10s35,0.02
SPLUS-n10s36,0.018
SPLUS-n10s39,0.018
SPLUS-n10s40,0.018
SPLUS-n10s41,0.015
SPLUS-n10s42,0.017
SPLUS-n10s43,0.016
SPLUS-n11s01,0.014
SPLUS-n11s02,0.017
SPLUS-n11s03,0.014
SPLUS-n11s04,0.012
SPLUS-n11s05,0.014
SPLUS-n11s06,0.015
SPLUS-n11s07,0.016
SPLUS-n11s08,0.024
SPLUS-n11s09,0.016
SPLUS-n11s10,0.017
SPLUS-n11s11,0.019
SPLUS-n11s12,0.019
SPLUS-n11s26,0.019
SPLUS-n11s29,0.019
SPLUS-n11s30,0.016
SPLUS-n11s31,0.019
SPLUS-n11s32,0.021
SPLUS-n11s33,0.019
SPLUS-n11s34,0.018
SPLUS-n11s35,0.018
SPLUS-n11s36,0.017
SPLUS-n11s37,0.011
SPLUS-n11s38,0.009
SPLUS-n11s39,0.019
SPLUS-n11s40,0.013
SPLUS-n11s41,0.015
SPLUS-n11s42,0.015
SPLUS-n11s43,0.015
SPLUS-n11s44,0.012
SPLUS-n12s01,0.018
SPLUS-n12s02,0.015
SPLUS-n12s03,0.019
SPLUS-n12s04,0.014
SPLUS-n12s05,0.011
SPLUS-n12s06,0.021
SPLUS-n12s07,0.019
SPLUS-n12s08,0.016
SPLUS-n12s09,0.017
SPLUS-n12s10,0.015
SPLUS-n12s11,0.018
SPLUS-n12s12,0.017
SPLUS-n12s23,0.015
SPLUS-n12s24,0.016
SPLUS-n12s25,0.011
SPLUS-n12s26,0.018
SPLUS-n12s28,0.02
SPLUS-n12s29,0.016
SPLUS-n12s30,0.017
SPLUS-n12s31,0.016
SPLUS-n12s32,0.017
SPLUS-n12s33,0.017
SPLUS-n12s34,0.018
SPLUS-n12s35,0.014
SPLUS-n12s36,0.017
SPLUS-n12s37,0.019
SPLUS-n12s38,0.008
SPLUS-n12s39,0.019
SPLUS-n12s40,0.016
SPLUS-n12s41,0.02
SPLUS-n12s42,0.015
SPLUS-n13s01,0.019
SPLUS-n13s02,0.018
SPLUS-n13s03,0.016
SPLUS-n13s04,0.014
SPLUS-n13s05,0.014
SPLUS-n13s06,0.015
SPLUS-n13s07,0.014
SPLUS-n13s08,0.017
SPLUS-n13s09,0.018
SPLUS-n13s10,0.017
SPLUS-n13s11,0.016
SPLUS-n13s12,0.019
SPLUS-n13s13,0.015
SPLUS-n13s14,0.017
SPLUS-n13s15,0.017
SPLUS-n13s19,0.018
SPLUS-n13s21,0.017
SPLUS-n13s22,0.015
SPLUS-n13s23,0.019
SPLUS-n13s24,0.02
SPLUS-n13s29,0.019
SPLUS-n13s30,0.017
SPLUS-n13s31,0.02
SPLUS-n13s32,0.018
SPLUS-n13s33,0.023
SPLUS-n13s35,0.015
SPLUS-n13s36,0.012
SPLUS-n13s37,0.018
SPLUS-n13s39,0.018
SPLUS-n13s40,0.016
SPLUS-n13s41,0.015
SPLUS-n13s42,0.013
SPLUS-n14s01,0.019
SPLUS-n14s02,0.017
SPLUS-n14s03,0.017
SPLUS-n14s04,0.019
SPLUS-n14s05,0.017
SPLUS-n14s06,0.017
SPLUS-n14s07,0.02
SPLUS-n14s08,0.018
SPLUS-n14s10,0.023
SPLUS-n14s11,0.021
SPLUS-n14s12,0.013
SPLUS-n14s13,0.02
SPLUS-n14s14,0.018
SPLUS-n14s15,0.016
SPLUS-n14s17,0.018
SPLUS-n14s18,0.018
SPLUS-n14s19,0.021
SPLUS-n14s20,0.019
SPLUS-n14s21,0.018
SPLUS-n14s22,0.018
SPLUS-n14s31,0.021
SPLUS-n14s32,0.023
SPLUS-n14s33,0.019
SPLUS-n15s01,0.019
SPLUS-n15s02,0.018
SPLUS-n15s03,0.018
SPLUS-n15s04,0.017
SPLUS-n15s05,0.013
SPLUS-n15s06,0.011
SPLUS-n15s07,0.016
SPLUS-n15s08,0.022
SPLUS-n15s09,0.02
SPLUS-n15s10,0.021
SPLUS-n15s11,0.019
SPLUS-n15s12,0.014
SPLUS-n15s13,0.018
SPLUS-n15s14,0.016
SPLUS-n15s15,0.018
SPLUS-n15s16,0.017
SPLUS-n15s17,0.02
SPLUS-n15s18,0.019
SPLUS-n15s19,0.016
SPLUS-n15s20,0.016
SPLUS-n15s21,0.017
SPLUS-n15s31,0.017
SPLUS-n15s32,0.021
SPLUS-n15s33,0.017
SPLUS-n16s01,0.019
SPLUS-n16s02,0.019
SPLUS-n16s03,0.018
SPLUS-n16s04,0.018
SPLUS-n16s05,0.02
SPLUS-n16s06,0.019
SPLUS-n16s07,0.017
SPLUS-n16s08,0.016
SPLUS-n16s09,0.015
SPLUS-n16s10,0.02
SPLUS-n16s11,0.018
SPLUS-n16s12,0.018
SPLUS-n16s13,0.017
SPLUS-n16s14,0.019
SPLUS-n16s15,0.017
SPLUS-n16s17,0.015
SPLUS-n16s18,0.015
SPLUS-n16s19,0.018
SPLUS-n16s20,0.018
SPLUS-n17s01,0.022
SPLUS-n17s02,0.018
SPLUS-n17s03,0.019
SPLUS-n17s04,0.023
SPLUS-n17s05,0.017
SPLUS-n17s06,0.017
SPLUS-n17s07,0.016
SPLUS-n17s08,0.019
SPLUS-n17s09,0.019
SPLUS-n17s10,0.019
SPLUS-n17s11,0.016
SPLUS-n17s12,0.019
SPLUS-n17s13,0.021
SPLUS-n17s14,0.018
SPLUS-n17s16,0.016
SPLUS-n17s17,0.018
SPLUS-n17s18,0.017
SPLUS-n17s19,0.015
SPLUS-n17s20,0.018
SPLUS-n17s21,0.017
SPLUS-n17s51,0.011
SPLUS-n18s01,0.018
SPLUS-n18s02,0.017
SPLUS-n18s03,0.022
SPLUS-n18s04,0.018
SPLUS-n18s05,0.016
SPLUS-n18s06,0.017
SPLUS-n18s07,0.018
SPLUS-n18s08,0.016
SPLUS-n18s09,0.016
SPLUS-n18s10,0.017
SPLUS-n18s11,0.017
SPLUS-n18s12,0.018
SPLUS-n18s13,0.018
SPLUS-n18s14,0.016
SPLUS-n18s15,0.019
SPLUS-n18s16,0.018
SPLUS-n18s17,0.018
SPLUS-n18s18,0.018
SPLUS-n18s19,0.017
SPLUS-n18s20,0.017
SPLUS-n18s21,0.017
SPLUS-n18s32,0.012
SPLUS-n18s33,0.013
SPLUS-n18s51,0.011
SPLUS-n19s01,0.014
SPLUS-n19s02,0.014
SPLUS-n19s03,0.01
SPLUS-n19s04,0.014
SPLUS-n19s05,0.009
SPLUS-n19s06,0.019
SPLUS-n19s07,0.018
SPLUS-n19s08,0.021
SPLUS-n19s09,0.015
SPLUS-n19s10,0.018
SPLUS-n19s11,0.015
SPLUS-n19s22,0.012
SPLUS-n19s23,0.016
SPLUS-n19s29,0.016
SPLUS-n20s01,0.015
SPLUS-n20s02,0.013
SPLUS-n20s03,0.013
SPLUS-n20s23,0.018
SPLUS-n20s25,0.018
SPLUS-n20s34,0.014
SPLUS-n20s35,0.015
SPLUS-n20s40,0.011
SPLUS-s02s01,0.02
SPLUS-s02s02,0.019
SPLUS-s02s03,0.015
SPLUS-s02s04,0.007
SPLUS-s02s05,0.016
SPLUS-s02s06,0.01
SPLUS-s02s07,0.013
SPLUS-s02s08,0.013
SPLUS-s02s10,0.016
SPLUS-s02s11,0.015
SPLUS-s02s12,0.017
SPLUS-s02s13,0.016
SPLUS-s02s15,0.013
SPLUS-s02s16,0.017
SPLUS-s02s17,0.018
SPLUS-s02s19,0.02
SPLUS-s02s20,0.018
SPLUS-s02s21,0.024
SPLUS-s02s22,0.019
SPLUS-s02s23,0.02
SPLUS-s02s24,0.019
SPLUS-s02s25,0.022
SPLUS-s02s26,0.02
SPLUS-s03s01,0.022
SPLUS-s03s03,0.014
SPLUS-s03s04,0.01
SPLUS-s03s05,0.003
SPLUS-s13s46,0.015
SPLUS-s16s22,0.008
SPLUS-s17s22,0.012
SPLUS-s17s23,0.015
SPLUS-s17s30,0.016
SPLUS-s18s22,0.014
SPLUS-s18s23,0.015
SPLUS-s18s28,0.015
SPLUS-s19s22,-0.008
SPLUS-s19s23,0.015
SPLUS-s19s24,0.02
SPLUS-s19s33,0.017
SPLUS-s19s34,0.018
SPLUS-s20s22,0.012
SPLUS-s20s23,0.002
SPLUS-s20s24,0.017
SPLUS-s20s25,0.015
SPLUS-s20s32,0.02
SPLUS-s20s33,0.016
SPLUS-s20s34,0.014
SPLUS-s20s35,0.02
SPLUS-s20s38,0.019
SPLUS-s21s10,0.021
SPLUS-s21s21,0.012
SPLUS-s21s22,0.012
SPLUS-s21s23,0.014
SPLUS-s21s24,0.02
SPLUS-s21s32,0.019
SPLUS-s21s33,0.021
SPLUS-s22s10,0.023
SPLUS-s22s15,0.023
SPLUS-s22s17,0.022
SPLUS-s22s19,0.023
SPLUS-s22s20,0.024
SPLUS-s22s21,0.009
SPLUS-s22s22,0.01
SPLUS-s22s23,0.01
SPLUS-s22s24,0.01
SPLUS-s22s32,0.02
SPLUS-s22s33,0.02
SPLUS-s22s34,0.021
SPLUS-s23s03,0.021
SPLUS-s23s04,0.018
SPLUS-s23s05,0.02
SPLUS-s23s06,0.021
SPLUS-s23s08,0.025
SPLUS-s23s09,0.023
SPLUS-s23s12,0.022
SPLUS-s23s13,0.022
SPLUS-s23s14,0.019
SPLUS-s23s15,0.022
SPLUS-s23s16,0.025
SPLUS-s23s17,0.025
SPLUS-s23s18,0.024
SPLUS-s23s19,0.022
SPLUS-s23s20,0.027
SPLUS-s23s21,0.01
SPLUS-s23s22,0.011
SPLUS-s23s23,0.01
SPLUS-s23s24,0.01
SPLUS-s23s25,0.012
SPLUS-s23s26,0.016
SPLUS-s23s27,0.017
SPLUS-s23s28,0.016
SPLUS-s23s29,0.018
SPLUS-s23s31,0.021
SPLUS-s23s32,0.019
SPLUS-s23s33,0.021
SPLUS-s23s34,0.021
SPLUS-s23s35,0.022
SPLUS-s23s36,0.022
SPLUS-s23s37,0.022
SPLUS-s23s38,0.023
SPLUS-s23s42,0.021
SPLUS-s23s43,0.019
SPLUS-s23s44,0.024
SPLUS-s23s45,0.021
SPLUS-s23s46,0.019
SPLUS-s23s47,0.022
SPLUS-s23s48,0.021
SPLUS-s23s49,0.02
SPLUS-s24s02,0.023
SPLUS-s24s03,0.018
SPLUS-s24s04,0.02
SPLUS-s24s05,0.024
SPLUS-s24s07,0.023
SPLUS-s24s08,0.023
SPLUS-s24s09,0.024
SPLUS-s24s10,0.024
SPLUS-s24s11,0.021
SPLUS-s24s12,0.024
SPLUS-s24s13,0.024
SPLUS-s24s14,0.024
SPLUS-s24s15,0.023
SPLUS-s24s16,0.023
SPLUS-s24s17,0.023
SPLUS-s24s18,0.022
SPLUS-s24s19,0.022
SPLUS-s24s20,0.025
SPLUS-s24s21,0.023
SPLUS-s24s23,0.023
SPLUS-s24s24,0.021
SPLUS-s24s25,0.021
SPLUS-s24s26,0.016
SPLUS-s24s27,0.019
SPLUS-s24s28,0.022
SPLUS-s24s29,0.021
SPLUS-s24s31,0.017
SPLUS-s24s33,0.016
SPLUS-s24s34,0.019
SPLUS-s24s35,0.02
SPLUS-s24s37,0.024
SPLUS-s24s38,0.018
SPLUS-s24s39,0.024
SPLUS-s24s40,0.022
SPLUS-s24s41,0.027
SPLUS-s24s42,0.018
SPLUS-s24s43,0.019
SPLUS-s24s44,0.022
SPLUS-s24s45,0.019
SPLUS-s24s46,0.016
SPLUS-s24s47,0.021
SPLUS-s24s48,0.024
SPLUS-s24s49,0.009
SPLUS-s24s50,0.003
SPLUS-s24s51,0.01
SPLUS-s24s52,0.01
SPLUS-s24s53,0.016
SPLUS-s24s54,0.017
SPLUS-s24s55,0.021
SPLUS-s24s57,0.025
SPLUS-s24s59,0.018
SPLUS-s24s61,0.024
SPLUS-s24s62,0.024
SPLUS-s24s63,0.021
SPLUS-s24s64,0.022
SPLUS-s24s65,0.021
SPLUS-s24s66,0.023
SPLUS-s24s69,0.023
SPLUS-s24s70,0.022
SPLUS-s24s71,0.02
SPLUS-s24s72,0.022
SPLUS-s24s73,0.023
SPLUS-s24s74,0.022
SPLUS-s24s75,0.023
SPLUS-s24s76,0.023
SPLUS-s25s07,0.022
SPLUS-s25s08,0.023
SPLUS-s25s09,0.022
SPLUS-s25s10,0.024
SPLUS-s25s12,0.02
SPLUS-s25s13,0.024
SPLUS-s25s14,0.022
SPLUS-s25s15,0.023
SPLUS-s25s16,0.024
SPLUS-s25s17,0.02
SPLUS-s25s18,0.024
SPLUS-s25s19,0.022
SPLUS-s25s20,0.021
SPLUS-s25s21,0.024
SPLUS-s25s22,0.019
SPLUS-s25s23,0.021
SPLUS-s25s24,0.016
SPLUS-s25s26,0.015
SPLUS-s25s27,0.019
SPLUS-s25s28,0.018
SPLUS-s25s29,0.022
SPLUS-s25s30,0.02
SPLUS-s25s31,0.02
SPLUS-s25s32,0.022
SPLUS-s25s33,0.021
SPLUS-s25s34,0.02
SPLUS-s25s37,0.012
SPLUS-s25s38,0.024
SPLUS-s25s39,0.018
SPLUS-s25s40,0.022
SPLUS-s25s43,0.017
SPLUS-s25s44,0.022
SPLUS-s25s45,0.021
SPLUS-s25s46,0.021
SPLUS-s25s47,0.02
SPLUS-s25s48,0.023
SPLUS-s25s49,0.009
SPLUS-s25s50,0.009
SPLUS-s25s52,0.0
SPLUS-s26s07,0.023
SPLUS-s26s08,0.022
SPLUS-s26s09,0.02
SPLUS-s26s10,0.023
SPLUS-s26s11,0.022
SPLUS-s26s12,0.026
SPLUS-s26s13,0.023
SPLUS-s26s14,0.022
SPLUS-s26s15,0.021
SPLUS-s26s16,0.023
SPLUS-s26s17,0.021
SPLUS-s26s18,0.023
SPLUS-s26s19,0.022
SPLUS-s26s20,0.021
SPLUS-s26s21,0.019
SPLUS-s26s22,0.021
SPLUS-s26s23,0.021
SPLUS-s26s24,0.02
SPLUS-s26s25,0.023
SPLUS-s26s26,0.02
SPLUS-s26s27,0.022
SPLUS-s26s28,0.023
SPLUS-s26s29,0.021
SPLUS-s26s30,0.023
SPLUS-s26s31,0.016
SPLUS-s26s32,0.02
SPLUS-s26s33,0.022
SPLUS-s26s34,0.022
SPLUS-s26s35,0.019
SPLUS-s26s36,0.022
SPLUS-s26s37,0.024
SPLUS-s26s38,0.023
SPLUS-s26s39,0.021
SPLUS-s26s42,0.019
SPLUS-s26s43,0.017
SPLUS-s26s44,0.022
SPLUS-s26s45,0.023
SPLUS-s26s47,0.021
SPLUS-s26s48,0.01
SPLUS-s26s49,0.013
SPLUS-s26s50,0.012
SPLUS-s26s51,0.013
SPLUS-s27s07,0.023
SPLUS-s27s08,0.039
SPLUS-s27s09,0.019
SPLUS-s27s10,0.017
SPLUS-s27s11,0.022
SPLUS-s27s12,0.026
SPLUS-s27s13,0.018
SPLUS-s27s14,0.019
SPLUS-s27s15,0.02
SPLUS-s27s16,0.02
SPLUS-s27s17,0.021
SPLUS-s27s18,0.019
SPLUS-s27s19,0.023
SPLUS-s27s20,0.022
SPLUS-s27s21,0.019
SPLUS-s27s22,0.018
SPLUS-s27s23,0.018
SPLUS-s27s24,0.021
SPLUS-s27s25,0.021
SPLUS-s27s26,0.019
SPLUS-s27s27,0.027
SPLUS-s27s28,0.02
SPLUS-s27s29,0.023
SPLUS-s27s30,0.02
SPLUS-s27s31,0.023
SPLUS-s27s32,0.02
SPLUS-s27s33,0.023
SPLUS-s27s34,0.017
SPLUS-s27s35,0.022
SPLUS-s27s36,0.022
SPLUS-s27s37,0.02
SPLUS-s27s38,0.021
SPLUS-s27s39,0.022
SPLUS-s27s41,0.02
SPLUS-s27s42,0.021
SPLUS-s27s43,0.02
SPLUS-s27s44,0.014
SPLUS-s27s45,0.022
SPLUS-s27s46,0.016
SPLUS-s27s47,0.017
SPLUS-s27s48,0.013
SPLUS-s27s49,0.01
SPLUS-s28s28,0.022
SPLUS-s28s29,0.023
SPLUS-s28s30,0.02
SPLUS-s28s31,0.021
SPLUS-s28s32,0.023
SPLUS-s28s33,0.02
SPLUS-s28s34,0.021
SPLUS-s28s36,0.023
SPLUS-s28s37,0.024
SPLUS-s28s38,0.024
SPLUS-s28s39,0.021
SPLUS-s28s40,0.023
SPLUS-s28s41,0.024
