FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
MC0088,Calibration_iDR5_3_PSF,0.0107,-0.0015,0.0082
MC0089,Calibration_iDR5_3_PSF,0.0056,-0.0009,0.007
MC0090,Calibration_iDR5_3_PSF,0.0074,0.0034,0.0018
MC0091,Calibration_iDR5_3_PSF,0.0068,0.0045,0.0035
MC0092,Calibration_iDR5_3_PSF,0.0145,0.0086,0.0077
MC0093,Calibration_iDR5_3_PSF,0.0049,0.0019,0.0016
MC0094,Calibration_iDR5_3_PSF,-0.0125,-0.0173,0.0026
MC0095,Calibration_iDR5_3_PSF,-0.0122,-0.0123,0.0004
MC0096,Calibration_iDR5_3_PSF,0.0037,0.0041,0.0032
MC0097,Calibration_iDR5_3_PSF,0.0035,0.0032,0.0023
MC0098,Calibration_iDR5_3_PSF,0.0025,0.0027,0.0016
MC0099,Calibration_iDR5_3_PSF,0.0038,0.0064,0.0069
MC0100,Calibration_iDR5_3_PSF,0.0037,0.0025,0.0018
MC0101,Calibration_iDR5_3_PSF,0.0054,0.0056,0.0027
MC0102,Calibration_iDR5_3_PSF,0.004,0.0039,0.0024
MC0103,Calibration_iDR5_3_PSF,0.0051,0.004,0.002
MC0104,Calibration_iDR5_3_PSF,0.0059,0.0042,0.001
MC0105,Calibration_iDR5_3_PSF,0.006,0.0043,0.0022
MC0106,Calibration_iDR5_3_PSF,0.0096,0.0064,0.0042
MC0107,Calibration_iDR5_3_PSF,0.0105,0.0058,0.0031
MC0108,Calibration_iDR5_3_PSF,0.009,0.0056,0.0044
MC0109,Calibration_iDR5_3_PSF,0.0103,0.0044,0.0053
MC0110,Calibration_iDR5_3_PSF,0.0117,0.004,0.0036
MC0111,Calibration_iDR5_3_PSF,0.0107,0.0099,0.0107
MC0112,Calibration_iDR5_3_PSF,0.0077,0.0039,0.003
MC0113,Calibration_iDR5_3_PSF,0.0054,0.0047,0.0043
MC0114,Calibration_iDR5_3_PSF,0.009,0.0024,0.0059
MC0115,Calibration_iDR5_3_PSF,-0.0115,-0.0119,-0.0029
MC0116,Calibration_iDR5_3_PSF,-0.0041,-0.0308,-0.0463
MC0117,Calibration_iDR5_3_PSF,0.0006,0.0021,0.0041
MC0118,Calibration_iDR5_3_PSF,0.0006,0.0012,0.0024
MC0119,Calibration_iDR5_3_PSF,0.0001,0.0014,0.0015
MC0120,Calibration_iDR5_3_PSF,0.002,0.0033,0.003
MC0121,Calibration_iDR5_3_PSF,0.0048,0.0048,0.0033
MC0122,Calibration_iDR5_3_PSF,0.0041,0.0044,0.0024
MC0123,Calibration_iDR5_3_PSF,0.0052,0.0038,0.0017
MC0124,Calibration_iDR5_3_PSF,0.0055,0.0045,0.0033
MC0125,Calibration_iDR5_3_PSF,0.0068,0.0038,0.001
MC0126,Calibration_iDR5_3_PSF,0.006,0.0048,0.0027
MC0127,Calibration_iDR5_3_PSF,0.0078,0.0049,0.0032
MC0128,Calibration_iDR5_3_PSF,0.0106,0.0064,0.0035
MC0129,Calibration_iDR5_3_PSF,0.0111,0.007,0.0036
