FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-d130,Calibration_iDR5_3_PSF,0.0104,-0.0085,-0.0063
SPLUS-d131,Calibration_iDR5_3_PSF,0.0188,-0.0035,-0.0092
SPLUS-d133,Calibration_iDR5_3_PSF,0.0145,-0.004,-0.0065
SPLUS-d136,Calibration_iDR5_3_PSF,0.0055,0.0002,-0.0007
SPLUS-d137,Calibration_iDR5_3_PSF,0.0057,0.0009,0.0021
SPLUS-d138,Calibration_iDR5_3_PSF,0.0074,-0.0006,0.0005
SPLUS-d139,Calibration_iDR5_3_PSF,0.0102,0.0006,-0.0021
SPLUS-d140,Calibration_iDR5_3_PSF,0.0108,-0.001,-0.0019
SPLUS-d141,Calibration_iDR5_3_PSF,0.0094,-0.0063,-0.0045
SPLUS-d142,Calibration_iDR5_3_PSF,0.0105,-0.0064,-0.004
SPLUS-d143,Calibration_iDR5_3_PSF,0.0145,0.0005,-0.0056
SPLUS-d145,Calibration_iDR5_3_PSF,0.016,-0.0048,-0.0073
SPLUS-d146,Calibration_iDR5_3_PSF,0.0108,-0.0078,-0.0059
SPLUS-d147,Calibration_iDR5_3_PSF,0.0108,-0.0071,-0.0075
SPLUS-d149,Calibration_iDR5_3_PSF,0.0119,-0.0063,-0.0052
SPLUS-d150,Calibration_iDR5_3_PSF,0.0098,-0.0076,-0.0022
SPLUS-d152,Calibration_iDR5_3_PSF,0.0086,0.0017,-0.0021
SPLUS-d153,Calibration_iDR5_3_PSF,0.0104,0.0059,0.0059
SPLUS-d154,Calibration_iDR5_3_PSF,0.008,0.0002,-0.0004
SPLUS-d155,Calibration_iDR5_3_PSF,0.0099,-0.0003,0.0005
SPLUS-d156,Calibration_iDR5_3_PSF,0.0126,0.0025,0.0045
SPLUS-d157,Calibration_iDR5_3_PSF,0.0087,-0.0057,-0.0022
SPLUS-d158,Calibration_iDR5_3_PSF,0.0065,-0.0074,-0.0044
SPLUS-d159,Calibration_iDR5_3_PSF,0.0087,-0.0096,-0.0062
SPLUS-d160,Calibration_iDR5_3_PSF,0.0134,-0.0004,-0.0073
SPLUS-d161,Calibration_iDR5_3_PSF,0.019,0.0036,-0.0027
SPLUS-d164,Calibration_iDR5_3_PSF,0.0092,-0.0078,-0.006
SPLUS-d165,Calibration_iDR5_3_PSF,0.0153,-0.0015,-0.0046
SPLUS-d166,Calibration_iDR5_3_PSF,0.0105,-0.0062,-0.0046
SPLUS-d168,Calibration_iDR5_3_PSF,0.0031,0.0004,0.002
SPLUS-d169,Calibration_iDR5_3_PSF,0.0144,0.0076,0.0047
SPLUS-d170,Calibration_iDR5_3_PSF,0.0087,0.0022,0.0028
SPLUS-d172,Calibration_iDR5_3_PSF,0.0074,-0.0026,-0.0004
SPLUS-d174,Calibration_iDR5_3_PSF,0.0039,-0.0107,-0.0052
SPLUS-d175,Calibration_iDR5_3_PSF,0.0113,-0.0048,-0.0062
SPLUS-d176,Calibration_iDR5_3_PSF,0.0209,0.0024,-0.0099
SPLUS-d177,Calibration_iDR5_3_PSF,0.0225,0.0028,-0.01
SPLUS-d178,Calibration_iDR5_3_PSF,0.0194,-0.001,-0.0144
SPLUS-d179,Calibration_iDR5_3_PSF,0.0117,-0.0087,-0.0081
SPLUS-d180,Calibration_iDR5_3_PSF,0.0141,-0.0064,-0.0051
SPLUS-d181,Calibration_iDR5_3_PSF,0.0107,-0.006,-0.005
SPLUS-d182,Calibration_iDR5_3_PSF,0.0042,-0.0075,-0.0015
SPLUS-d184,Calibration_iDR5_3_PSF,0.0091,0.0069,0.0062
SPLUS-d185,Calibration_iDR5_3_PSF,0.0074,0.0015,0.0025
SPLUS-d186,Calibration_iDR5_3_PSF,0.0073,-0.0119,-0.0245
SPLUS-d187,Calibration_iDR5_3_PSF,0.0096,0.0001,0.0001
SPLUS-d188,Calibration_iDR5_3_PSF,0.0074,-0.0029,-0.0005
SPLUS-d189,Calibration_iDR5_3_PSF,0.0065,-0.006,-0.0036
SPLUS-d190,Calibration_iDR5_3_PSF,0.0097,-0.0068,-0.0048
SPLUS-d191,Calibration_iDR5_3_PSF,0.0109,-0.0027,-0.0046
SPLUS-d192,Calibration_iDR5_3_PSF,0.0274,0.0075,-0.012
SPLUS-d194,Calibration_iDR5_3_PSF,0.0108,-0.0105,-0.0091
SPLUS-d196,Calibration_iDR5_3_PSF,0.0044,-0.0136,-0.0052
SPLUS-d197,Calibration_iDR5_3_PSF,0.0054,-0.0121,-0.0035
SPLUS-d199,Calibration_iDR5_3_PSF,0.0041,-0.0041,0.0009
SPLUS-d200,Calibration_iDR5_3_PSF,0.0168,0.0097,0.0055
SPLUS-d201,Calibration_iDR5_3_PSF,0.028,0.0162,0.0076
SPLUS-d202,Calibration_iDR5_3_PSF,0.0067,0.0017,0.0037
SPLUS-d203,Calibration_iDR5_3_PSF,0.0171,0.0078,0.0037
SPLUS-d204,Calibration_iDR5_3_PSF,0.0082,-0.0012,-0.0
SPLUS-d207,Calibration_iDR5_3_PSF,0.0069,-0.0072,-0.0024
SPLUS-d208,Calibration_iDR5_3_PSF,0.0163,-0.0015,-0.008
SPLUS-d209,Calibration_iDR5_3_PSF,0.0147,-0.0012,-0.0069
SPLUS-d210,Calibration_iDR5_3_PSF,0.0138,-0.0048,-0.0065
SPLUS-d211,Calibration_iDR5_3_PSF,0.0085,-0.0102,-0.005
SPLUS-d212,Calibration_iDR5_3_PSF,0.0103,-0.0082,-0.0051
SPLUS-d213,Calibration_iDR5_3_PSF,0.008,-0.0127,-0.0078
SPLUS-d214,Calibration_iDR5_3_PSF,0.0056,-0.0096,-0.0029
SPLUS-d215,Calibration_iDR5_3_PSF,0.0041,-0.0078,-0.0015
SPLUS-d216,Calibration_iDR5_3_PSF,0.0136,0.01,0.0072
SPLUS-d217,Calibration_iDR5_3_PSF,0.0124,0.0069,0.0056
SPLUS-d218,Calibration_iDR5_3_PSF,0.0112,-0.0128,-0.0226
SPLUS-d220,Calibration_iDR5_3_PSF,0.0057,-0.0021,0.0009
SPLUS-d221,Calibration_iDR5_3_PSF,0.0045,-0.0049,-0.0007
SPLUS-d222,Calibration_iDR5_3_PSF,0.0043,-0.0074,-0.0022
SPLUS-d223,Calibration_iDR5_3_PSF,0.0083,-0.0065,-0.003
SPLUS-d224,Calibration_iDR5_3_PSF,0.0118,-0.0028,-0.0035
SPLUS-d225,Calibration_iDR5_3_PSF,0.0191,0.0004,-0.0063
SPLUS-d226,Calibration_iDR5_3_PSF,0.0209,-0.0,-0.005
SPLUS-d227,Calibration_iDR5_3_PSF,0.0175,-0.0028,-0.009
SPLUS-d228,Calibration_iDR5_3_PSF,0.0095,-0.0111,-0.0083
SPLUS-d229,Calibration_iDR5_3_PSF,0.0071,-0.0109,-0.0055
SPLUS-d230,Calibration_iDR5_3_PSF,0.0073,-0.0098,-0.0052
SPLUS-d231,Calibration_iDR5_3_PSF,0.0086,-0.0076,-0.0016
SPLUS-d232,Calibration_iDR5_3_PSF,0.0066,0.006,0.0107
SPLUS-d233,Calibration_iDR5_3_PSF,0.0099,0.0042,0.0056
SPLUS-d235,Calibration_iDR5_3_PSF,0.0026,-0.002,0.0013
SPLUS-d236,Calibration_iDR5_3_PSF,0.0033,-0.0023,0.0022
SPLUS-d239,Calibration_iDR5_3_PSF,0.0043,-0.0065,0.0004
SPLUS-d240,Calibration_iDR5_3_PSF,0.0154,0.0017,0.0084
SPLUS-d242,Calibration_iDR5_3_PSF,0.0223,-0.0035,-0.0099
SPLUS-d243,Calibration_iDR5_3_PSF,0.026,0.001,-0.0057
SPLUS-d244,Calibration_iDR5_3_PSF,0.012,-0.0079,-0.002
SPLUS-d245,Calibration_iDR5_3_PSF,0.0069,-0.0114,-0.0078
SPLUS-d246,Calibration_iDR5_3_PSF,0.0072,-0.0088,-0.0043
SPLUS-d247,Calibration_iDR5_3_PSF,0.0052,-0.0048,-0.0001
SPLUS-d248,Calibration_iDR5_3_PSF,0.0049,0.0012,0.0026
SPLUS-d249,Calibration_iDR5_3_PSF,0.0121,0.0086,0.0089
SPLUS-d250,Calibration_iDR5_3_PSF,0.0065,0.0004,0.0013
SPLUS-d252,Calibration_iDR5_3_PSF,0.0079,0.0001,0.0025
SPLUS-d253,Calibration_iDR5_3_PSF,0.0022,-0.0038,0.0006
SPLUS-d254,Calibration_iDR5_3_PSF,0.0016,-0.0062,-0.0003
SPLUS-d255,Calibration_iDR5_3_PSF,0.0043,-0.0069,-0.0016
SPLUS-d256,Calibration_iDR5_3_PSF,0.0144,-0.0019,-0.0055
SPLUS-d257,Calibration_iDR5_3_PSF,0.0189,-0.0042,-0.0053
SPLUS-d258,Calibration_iDR5_3_PSF,0.0318,0.0078,-0.0155
SPLUS-d259,Calibration_iDR5_3_PSF,0.0185,0.0011,-0.0117
SPLUS-d260,Calibration_iDR5_3_PSF,0.0078,-0.0108,-0.0067
SPLUS-d261,Calibration_iDR5_3_PSF,0.0046,-0.0098,-0.0035
SPLUS-d262,Calibration_iDR5_3_PSF,0.0013,-0.0151,-0.007
SPLUS-d263,Calibration_iDR5_3_PSF,0.0201,0.0041,0.002
SPLUS-d264,Calibration_iDR5_3_PSF,0.004,-0.0047,0.0006
SPLUS-d266,Calibration_iDR5_3_PSF,0.0089,0.0012,0.0005
SPLUS-d267,Calibration_iDR5_3_PSF,0.0089,0.0013,0.0015
SPLUS-d268,Calibration_iDR5_3_PSF,0.0093,0.0008,0.0023
SPLUS-d269,Calibration_iDR5_3_PSF,0.0036,-0.0023,0.0003
SPLUS-d270,Calibration_iDR5_3_PSF,0.0062,-0.002,0.0011
SPLUS-d271,Calibration_iDR5_3_PSF,0.0123,-0.0008,-0.0002
SPLUS-d272,Calibration_iDR5_3_PSF,0.0193,0.0006,-0.0061
SPLUS-d273,Calibration_iDR5_3_PSF,0.0152,-0.0024,-0.0129
SPLUS-d274,Calibration_iDR5_3_PSF,0.0506,0.0276,0.0057
SPLUS-d275,Calibration_iDR5_3_PSF,0.026,0.0024,-0.0073
SPLUS-d276,Calibration_iDR5_3_PSF,0.0165,-0.0018,-0.0096
SPLUS-d277,Calibration_iDR5_3_PSF,0.0103,-0.0097,-0.0106
SPLUS-d278,Calibration_iDR5_3_PSF,0.0028,-0.0136,-0.0066
SPLUS-d279,Calibration_iDR5_3_PSF,0.0062,-0.008,-0.0011
SPLUS-d280,Calibration_iDR5_3_PSF,0.0094,-0.0039,-0.0
SPLUS-d281,Calibration_iDR5_3_PSF,0.0136,0.0041,0.0011
SPLUS-d282,Calibration_iDR5_3_PSF,0.0135,0.0037,0.001
SPLUS-d283,Calibration_iDR5_3_PSF,0.0107,0.0029,0.0029
SPLUS-d284,Calibration_iDR5_3_PSF,0.011,0.0015,0.0029
SPLUS-d285,Calibration_iDR5_3_PSF,0.0071,-0.0006,0.0013
SPLUS-d286,Calibration_iDR5_3_PSF,0.0105,-0.0009,0.0006
SPLUS-d287,Calibration_iDR5_3_PSF,0.0136,-0.0039,-0.0025
SPLUS-d288,Calibration_iDR5_3_PSF,0.0245,0.008,-0.0052
SPLUS-d289,Calibration_iDR5_3_PSF,0.0279,0.0151,0.0001
SPLUS-d290,Calibration_iDR5_3_PSF,0.0374,0.0187,-0.0008
SPLUS-d291,Calibration_iDR5_3_PSF,0.0209,-0.0009,-0.0115
SPLUS-d292,Calibration_iDR5_3_PSF,0.0225,-0.0046,-0.0129
SPLUS-d293,Calibration_iDR5_3_PSF,0.01,-0.0106,-0.0072
SPLUS-d294,Calibration_iDR5_3_PSF,0.005,-0.009,-0.0015
SPLUS-d295,Calibration_iDR5_3_PSF,0.0057,-0.0102,-0.008
SPLUS-d296,Calibration_iDR5_3_PSF,0.0106,-0.003,-0.0022
SPLUS-d297,Calibration_iDR5_3_PSF,0.0185,0.0066,0.0019
SPLUS-d298,Calibration_iDR5_3_PSF,0.0099,0.0013,0.0014
SPLUS-d299,Calibration_iDR5_3_PSF,0.0147,0.003,0.0004
SPLUS-d300,Calibration_iDR5_3_PSF,0.011,0.0015,0.0008
SPLUS-d301,Calibration_iDR5_3_PSF,0.0156,0.0026,-0.0009
SPLUS-d302,Calibration_iDR5_3_PSF,0.0172,0.0025,-0.0029
SPLUS-d303,Calibration_iDR5_3_PSF,0.0343,0.0096,-0.0056
SPLUS-d304,Calibration_iDR5_3_PSF,0.033,0.0149,-0.0056
SPLUS-d305,Calibration_iDR5_3_PSF,0.0402,0.0228,0.0017
SPLUS-d306,Calibration_iDR5_3_PSF,0.0297,0.0136,-0.0115
SPLUS-d307,Calibration_iDR5_3_PSF,0.0246,0.0046,-0.015
SPLUS-d308,Calibration_iDR5_3_PSF,0.011,-0.0099,-0.0136
SPLUS-d309,Calibration_iDR5_3_PSF,0.0158,-0.0035,-0.0043
SPLUS-d310,Calibration_iDR5_3_PSF,0.0139,-0.0038,-0.006
SPLUS-d311,Calibration_iDR5_3_PSF,0.0137,-0.0013,-0.0034
SPLUS-d313,Calibration_iDR5_3_PSF,0.0147,0.0068,0.0011
SPLUS-d314,Calibration_iDR5_3_PSF,0.0088,-0.0094,-0.0167
SPLUS-d315,Calibration_iDR5_3_PSF,0.0145,0.0035,-0.0
SPLUS-d317,Calibration_iDR5_3_PSF,0.0138,0.0053,0.0039
SPLUS-d318,Calibration_iDR5_3_PSF,0.0207,0.0052,-0.004
SPLUS-d319,Calibration_iDR5_3_PSF,0.0285,0.013,-0.0015
SPLUS-d320,Calibration_iDR5_3_PSF,0.034,0.0143,-0.0063
SPLUS-d321,Calibration_iDR5_3_PSF,0.0401,0.0186,-0.0049
SPLUS-d322,Calibration_iDR5_3_PSF,0.0415,0.0261,-0.0088
SPLUS-d323,Calibration_iDR5_3_PSF,0.0244,0.004,-0.0078
SPLUS-d324,Calibration_iDR5_3_PSF,0.0181,0.001,-0.0058
SPLUS-d325,Calibration_iDR5_3_PSF,0.0191,-0.0003,-0.0055
SPLUS-d326,Calibration_iDR5_3_PSF,0.0206,0.0015,-0.0078
SPLUS-d327,Calibration_iDR5_3_PSF,0.0204,0.0041,-0.0047
SPLUS-d329,Calibration_iDR5_3_PSF,0.0341,0.0139,-0.0054
SPLUS-d330,Calibration_iDR5_3_PSF,0.0436,0.0309,0.0289
SPLUS-d331,Calibration_iDR5_3_PSF,0.0126,0.0042,0.0031
SPLUS-d334,Calibration_iDR5_3_PSF,0.0205,0.0057,-0.0012
SPLUS-d335,Calibration_iDR5_3_PSF,0.0277,0.0091,-0.0026
SPLUS-d339,Calibration_iDR5_3_PSF,0.0401,0.0181,-0.0111
SPLUS-d340,Calibration_iDR5_3_PSF,0.0312,0.0096,-0.011
SPLUS-d341,Calibration_iDR5_3_PSF,0.0301,0.0068,-0.0072
SPLUS-d342,Calibration_iDR5_3_PSF,0.0282,0.0048,-0.0074
SPLUS-d343,Calibration_iDR5_3_PSF,0.0361,0.0118,-0.0136
SPLUS-d344,Calibration_iDR5_3_PSF,0.0319,0.0079,-0.0118
SPLUS-d358,Calibration_iDR5_3_PSF,0.0393,0.0188,-0.0023
SPLUS-d359,Calibration_iDR5_3_PSF,0.0431,0.0289,0.0017
SPLUS-d360,Calibration_iDR5_3_PSF,0.0426,0.0197,-0.0131
SPLUS-d361,Calibration_iDR5_3_PSF,0.0485,0.0234,-0.0065
SPLUS-d362,Calibration_iDR5_3_PSF,0.0411,0.0223,-0.0034
SPLUS-d363,Calibration_iDR5_3_PSF,0.0072,0.0017,0.0029
SPLUS-d364,Calibration_iDR5_3_PSF,0.0124,0.0022,0.0009
SPLUS-d366,Calibration_iDR5_3_PSF,0.0233,0.0094,-0.0009
SPLUS-d367,Calibration_iDR5_3_PSF,0.0378,0.0229,-0.0025
SPLUS-d372,Calibration_iDR5_3_PSF,0.0517,0.0309,-0.0007
SPLUS-d373,Calibration_iDR5_3_PSF,0.0498,0.0291,-0.0073
SPLUS-d374,Calibration_iDR5_3_PSF,0.0448,0.0225,0.0006
SPLUS-d375,Calibration_iDR5_3_PSF,0.0437,0.0283,0.002
SPLUS-d376,Calibration_iDR5_3_PSF,0.0319,0.0244,-0.0016
SPLUS-d377,Calibration_iDR5_3_PSF,0.049,0.0291,-0.0034
SPLUS-d388,Calibration_iDR5_3_PSF,0.0505,0.0332,-0.0032
SPLUS-d389,Calibration_iDR5_3_PSF,0.0357,0.0194,-0.0005
SPLUS-d390,Calibration_iDR5_3_PSF,0.0297,0.0138,-0.0032
SPLUS-d391,Calibration_iDR5_3_PSF,0.0332,0.0201,0.0006
SPLUS-d392,Calibration_iDR5_3_PSF,0.0536,0.0416,-0.0052
SPLUS-d393,Calibration_iDR5_3_PSF,0.0495,0.0333,-0.0053
SPLUS-d401,Calibration_iDR5_3_PSF,0.0144,-0.0008,-0.0009
SPLUS-d402,Calibration_iDR5_3_PSF,0.0199,0.0018,-0.0039
SPLUS-d403,Calibration_iDR5_3_PSF,0.0371,0.0158,-0.0049
SPLUS-d404,Calibration_iDR5_3_PSF,0.0301,0.012,-0.0036
SPLUS-d405,Calibration_iDR5_3_PSF,0.032,0.0126,-0.0026
SPLUS-d406,Calibration_iDR5_3_PSF,0.0442,0.0251,-0.0055
SPLUS-d407,Calibration_iDR5_3_PSF,0.0488,0.033,-0.0047
SPLUS-d408,Calibration_iDR5_3_PSF,0.0376,0.0317,-0.0013
SPLUS-d415,Calibration_iDR5_3_PSF,0.0157,0.0024,-0.0017
SPLUS-d416,Calibration_iDR5_3_PSF,0.0256,0.0082,0.0009
SPLUS-d417,Calibration_iDR5_3_PSF,0.0265,0.0092,0.0019
SPLUS-d418,Calibration_iDR5_3_PSF,0.041,0.0189,-0.0034
SPLUS-d431,Calibration_iDR5_3_PSF,0.0344,0.0086,-0.0061
SPLUS-d433,Calibration_iDR5_3_PSF,0.0466,0.024,-0.0064
SPLUS-d434,Calibration_iDR5_3_PSF,0.0305,0.0268,-0.0005
SPLUS-d435,Calibration_iDR5_3_PSF,0.0101,0.0044,0.0014
SPLUS-d442,Calibration_iDR5_3_PSF,0.0222,0.0052,-0.0014
SPLUS-d443,Calibration_iDR5_3_PSF,0.0202,-0.0011,-0.0048
SPLUS-d445,Calibration_iDR5_3_PSF,0.0289,0.0055,-0.0061
SPLUS-d452,Calibration_iDR5_3_PSF,0.0172,0.0034,0.0006
SPLUS-d453,Calibration_iDR5_3_PSF,0.0287,0.0087,-0.0029
SPLUS-d454,Calibration_iDR5_3_PSF,0.0253,0.0044,-0.0065
SPLUS-d455,Calibration_iDR5_3_PSF,0.0302,0.0069,-0.0103
SPLUS-d456,Calibration_iDR5_3_PSF,0.0396,0.0208,-0.0091
SPLUS-d457,Calibration_iDR5_3_PSF,0.0375,0.016,-0.0031
SPLUS-d464,Calibration_iDR5_3_PSF,0.0413,0.0158,-0.0104
SPLUS-d465,Calibration_iDR5_3_PSF,0.0361,0.0101,-0.008
SPLUS-d466,Calibration_iDR5_3_PSF,0.0389,0.0165,-0.0064
SPLUS-d467,Calibration_iDR5_3_PSF,0.0271,0.0098,-0.006
SPLUS-d468,Calibration_iDR5_3_PSF,0.036,0.0142,-0.0047
SPLUS-d475,Calibration_iDR5_3_PSF,0.0575,0.029,-0.0109
SPLUS-d476,Calibration_iDR5_3_PSF,0.0388,0.0139,-0.008
SPLUS-d477,Calibration_iDR5_3_PSF,0.0318,0.0112,-0.0058
SPLUS-d478,Calibration_iDR5_3_PSF,0.0404,0.0176,-0.0037
SPLUS-d480,Calibration_iDR5_3_PSF,0.0171,0.004,0.0001
SPLUS-d485,Calibration_iDR5_3_PSF,0.0353,0.0111,-0.003
SPLUS-d487,Calibration_iDR5_3_PSF,0.0276,0.0077,-0.0045
SPLUS-d489,Calibration_iDR5_3_PSF,0.0168,0.0077,0.0025
SPLUS-d493,Calibration_iDR5_3_PSF,0.021,0.0076,0.0022
SPLUS-d501,Calibration_iDR5_3_PSF,0.0297,0.0106,-0.0015
SPLUS-d504,Calibration_iDR5_3_PSF,0.0195,0.0036,-0.0004
SPLUS-d509,Calibration_iDR5_3_PSF,0.0144,0.0046,0.0029
SPLUS-d516,Calibration_iDR5_3_PSF,0.014,0.0053,0.005
SPLUS-d517,Calibration_iDR5_3_PSF,0.0157,0.0039,0.0031
SPLUS-d521,Calibration_iDR5_3_PSF,0.0108,0.0033,0.0013
SPLUS-d522,Calibration_iDR5_3_PSF,0.0128,0.004,0.0027
