iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
HYDRA_0135,HYDRA-0135,HYDRA_0135,HYDRA_0135,Calibration_iDR5_3_Main,0.0074,0.0021,1.0E-4,0.0032
HYDRA-0136,HYDRA-0136,HYDRA_0136,HYDRA-0136,Calibration_iDR5_3_Main,0.0192,0.0137,0.01,0.014300001
HYDRA-0137,HYDRA-0137,HYDRA_0137,HYDRA-0137,Calibration_iDR5_3_Main,0.0134,0.0052,-0.0,0.0062
HYDRA_0138,HYDRA-0138,HYDRA_0138,HYDRA_0138,Calibration_iDR5_3_Main,0.021,0.0141,0.0109,0.015333332
HYDRA_0139,HYDRA-0139,HYDRA_0139,HYDRA_0139,Calibration_iDR5_3_Main,0.0081,0.0025,1.0E-4,0.0035666667
HYDRA_0140,HYDRA-0140,HYDRA_0140,HYDRA_0140,Calibration_iDR5_3_Main,0.0079,0.0038,0.0012,0.0042999997
HYDRA_0141,HYDRA-0141,HYDRA_0141,HYDRA_0141,Calibration_iDR5_3_Main,0.0072,0.0025,1.0E-4,0.0032666668
HYDRA_0142,HYDRA-0142,HYDRA_0142,HYDRA_0142,Calibration_iDR5_3_Main,0.0084,0.0033,7.0E-4,0.004133333
HYDRA_0143,HYDRA-0143,HYDRA_0143,HYDRA_0143,Calibration_iDR5_3_Main,0.0123,0.0051,-4.0E-4,0.005666667
HYDRA_0144,HYDRA-0144,HYDRA_0144,HYDRA_0144,Calibration_iDR5_3_Main,0.0201,0.0104,-0.0012,0.009766666
HYDRA_0145,HYDRA-0145,HYDRA_0145,HYDRA_0145,Calibration_iDR5_3_Main,0.0088,0.0028,7.0E-4,0.0041
HYDRA_0146,HYDRA-0146,HYDRA_0146,HYDRA_0146,Calibration_iDR5_3_Main,0.0091,0.0021,-6.0E-4,0.0035333335
HYDRA_0147,HYDRA-0147,HYDRA_0147,HYDRA_0147,Calibration_iDR5_3_Main,0.009,0.0031,7.0E-4,0.0042666667
HYDRA_0148,HYDRA-0148,HYDRA_0148,HYDRA_0148,Calibration_iDR5_3_Main,0.0099,0.0039,9.0E-4,0.0049
HYDRA_0149,HYDRA-0149,HYDRA_0149,HYDRA_0149,Calibration_iDR5_3_Main,0.0061,0.0018,-0.0012,0.0022333332
HYDRA_0150,HYDRA-0150,HYDRA_0150,HYDRA_0150,Calibration_iDR5_3_Main,0.0157,0.008,-4.0E-4,0.0077666664
HYDRA_0151,HYDRA-0151,HYDRA_0151,HYDRA_0151,Calibration_iDR5_3_Main,0.0184,0.0101,-5.0E-4,0.009333334
HYDRA_0152,HYDRA-0152,HYDRA_0152,HYDRA_0152,Calibration_iDR5_3_Main,0.0134,0.0044,-6.0E-4,0.005733333
HYDRA_0153,HYDRA-0153,HYDRA_0153,HYDRA_0153,Calibration_iDR5_3_Main,0.0141,0.005,-9.0E-4,0.0060666665
HYDRA_0154,HYDRA-0154,HYDRA_0154,HYDRA_0154,Calibration_iDR5_3_Main,0.0128,0.0028,-0.0052,0.0034666664
HYDRA_0155,HYDRA-0155,HYDRA_0155,HYDRA_0155,Calibration_iDR5_3_Main,0.0131,0.004,-0.0028,0.004766667
HYDRA_0156,HYDRA-0156,HYDRA_0156,HYDRA_0156,Calibration_iDR5_3_Main,0.0124,0.0053,-9.0E-4,0.0056
HYDRA_0157,HYDRA-0157,HYDRA_0157,HYDRA_0157,Calibration_iDR5_3_Main,0.0122,0.0053,1.0E-4,0.005866667
HYDRA_0158,HYDRA-0158,HYDRA_0158,HYDRA_0158,Calibration_iDR5_3_Main,0.0095,0.004,1.0E-4,0.0045333332
HYDRA_0159,HYDRA-0159,HYDRA_0159,HYDRA_0159,Calibration_iDR5_3_Main,0.0108,0.0067,0.0042,0.0072333333
HYDRA_0160,HYDRA-0160,HYDRA_0160,HYDRA_0160,Calibration_iDR5_3_Main,0.0151,0.0049,-0.001,0.006333333
HYDRA_0161,HYDRA-0161,HYDRA_0161,HYDRA_0161,Calibration_iDR5_3_Main,0.0108,0.0035,5.0E-4,0.0049333335
HYDRA_0162,HYDRA-0162,HYDRA_0162,HYDRA_0162,Calibration_iDR5_3_Main,0.0136,0.0057,1.0E-4,0.0064666667
HYDRA_0163,HYDRA-0163,HYDRA_0163,HYDRA_0163,Calibration_iDR5_3_Main,0.0162,0.0087,0.0041,0.009666667
HYDRA_0164,HYDRA-0164,HYDRA_0164,HYDRA_0164,Calibration_iDR5_3_Main,0.015,0.0065,-3.0E-4,0.0070666666
HYDRA_0165,HYDRA-0165,HYDRA_0165,HYDRA_0165,Calibration_iDR5_3_Main,0.0096,0.0039,8.0E-4,0.004766667
HYDRA_0166,HYDRA-0166,HYDRA_0166,HYDRA_0166,Calibration_iDR5_3_Main,0.0118,0.005,-1.0E-4,0.0055666673
HYDRA_0167,HYDRA-0167,HYDRA_0167,HYDRA_0167,Calibration_iDR5_3_Main,0.0098,0.0037,1.0E-4,0.0045333332
HYDRA-D-0001,HYDRA-D-0001,HYDRA_D_0001,HYDRA-D-0001,Calibration_iDR5_3_Main,0.0052,0.0028,0.0019,0.0033
HYDRA-D-0002,HYDRA-D-0002,HYDRA_D_0002,HYDRA-D-0002,Calibration_iDR5_3_Main,0.0057,0.0027,0.0015,0.0033000002
HYDRA-D-0003,HYDRA-D-0003,HYDRA_D_0003,HYDRA-D-0003,Calibration_iDR5_3_Main,0.0051,0.0025,0.0014,0.0029999998
HYDRA-D-0004,HYDRA-D-0004,HYDRA_D_0004,HYDRA-D-0004,Calibration_iDR5_3_Main,0.0047,0.0026,0.0018,0.0030333332
MC0001,MC0001,MC0001,MC0001,Calibration_iDR5_3_PSF,0.0024,0.0017,1.0E-4,0.0014
MC0002,MC0002,MC0002,MC0002,Calibration_iDR5_3_PSF,0.0011,0.0028,2.0E-4,0.0013666666
MC0003,MC0003,MC0003,MC0003,Calibration_iDR5_3_PSF,0.0074,0.0053,0.0025,0.0050666668
MC0004,MC0004,MC0004,MC0004,Calibration_iDR5_3_PSF,0.0032,0.0034,0.0034,0.0033333332
MC0005,MC0005,MC0005,MC0005,Calibration_iDR5_3_PSF,0.0052,0.0033,0.0023,0.0036000002
MC0006,MC0006,MC0006,MC0006,Calibration_iDR5_3_PSF,0.0049,0.0028,0.0032,0.0036333334
MC0007,MC0007,MC0007,MC0007,Calibration_iDR5_3_PSF,0.0056,0.0032,0.0026,0.0038
MC0008,MC0008,MC0008,MC0008,Calibration_iDR5_3_PSF,0.0037,0.0023,0.0016,0.0025333334
MC0009,MC0009,MC0009,MC0009,Calibration_iDR5_3_PSF,0.0018,0.0019,0.0012,0.0016333334
MC0010,MC0010,MC0010,MC0010,Calibration_iDR5_3_PSF,8.0E-4,0.0021,0.0022,0.0016999999
MC0011,MC0011,MC0011,MC0011,Calibration_iDR5_3_PSF,0.0032,0.0031,0.0011,0.0024666667
MC0012,MC0012,MC0012,MC0012,Calibration_iDR5_3_PSF,0.0035,0.0031,0.0017,0.0027666667
MC0013,MC0013,MC0013,MC0013,Calibration_iDR5_3_PSF,0.0054,0.0039,0.0016,0.0036333334
MC0014,MC0014,MC0014,MC0014,Calibration_iDR5_3_PSF,0.0052,0.0022,0.0019,0.0031
MC0015,MC0015,MC0015,MC0015,Calibration_iDR5_3_PSF,0.0049,0.0011,0.0015,0.0025000002
MC0016,MC0016,MC0016,MC0016,Calibration_iDR5_3_PSF,0.0063,0.002,0.0024,0.0035666667
MC0017,MC0017,MC0017,MC0017,Calibration_iDR5_3_PSF,0.0063,0.0029,0.0027,0.0039666668
MC0018,MC0018,MC0018,MC0018,Calibration_iDR5_3_PSF,0.0052,0.0028,0.0015,0.0031666665
MC0019,MC0019,MC0019,MC0019,Calibration_iDR5_3_PSF,0.0047,0.0029,0.0015,0.0030333335
MC0020,MC0020,MC0020,MC0020,Calibration_iDR5_3_PSF,0.0024,0.0024,0.0015,0.0021000002
MC0021,MC0021,MC0021,MC0021,Calibration_iDR5_3_PSF,0.0077,0.0065,0.0042,0.0061333333
MC0022,MC0022,MC0022,MC0022,Calibration_iDR5_3_PSF,-9.0E-4,-8.0E-4,0.0026,3.0000004E-4
MC0023,MC0023,MC0023,MC0023,Calibration_iDR5_3_PSF,0.0025,-3.0E-4,0.0043,0.0021666668
MC0024,MC0024,MC0024,MC0024,Calibration_iDR5_3_PSF,-0.0063,-0.0045,0.0051,-0.0019
MC0025,MC0025,MC0025,MC0025,Calibration_iDR5_3_PSF,-8.0E-4,1.0E-4,0.0025,5.9999997E-4
MC0026,MC0026,MC0026,MC0026,Calibration_iDR5_3_PSF,0.0061,0.0015,9.0E-4,0.0028333336
MC0027,MC0027,MC0027,MC0027,Calibration_iDR5_3_PSF,0.0073,0.0035,0.0015,0.0041
MC0028,MC0028,MC0028,MC0028,Calibration_iDR5_3_PSF,0.004,0.0034,0.0019,0.0031000003
MC0029,MC0029,MC0029,MC0029,Calibration_iDR5_3_PSF,0.0087,0.006,0.0042,0.0063
MC0030,MC0030,MC0030,MC0030,Calibration_iDR5_3_PSF,-0.0065,-0.0064,0.0048,-0.0027
MC0031,MC0031,MC0031,MC0031,Calibration_iDR5_3_PSF,-0.0031,-0.005,0.0033,-0.0016000001
MC0032,MC0032,MC0032,MC0032,Calibration_iDR5_3_PSF,-0.0109,-0.0105,0.0051,-0.0054333336
