PID,RA_d,DEC_d,EPOC,NAME
SPLUS,187.471,0.000,2000,SPLUS-n01s28
SPLUS,199.700,0.000,2000,SPLUS-n01s37
SPLUS,201.058,0.000,2000,SPLUS-n01s38
SPLUS,150.792,1.359,2000,SPLUS-n02n01
SPLUS,173.888,1.359,2000,SPLUS-n02n18
SPLUS,175.246,1.359,2000,SPLUS-n02n19
SPLUS,176.604,1.359,2000,SPLUS-n02n20
SPLUS,177.963,1.359,2000,SPLUS-n02n21
SPLUS,179.321,1.359,2000,SPLUS-n02n22
SPLUS,180.679,1.359,2000,SPLUS-n02n23
SPLUS,182.038,1.359,2000,SPLUS-n02n24
SPLUS,183.396,1.359,2000,SPLUS-n02n25
SPLUS,184.754,1.359,2000,SPLUS-n02n26
SPLUS,186.113,1.359,2000,SPLUS-n02n27
SPLUS,187.471,1.359,2000,SPLUS-n02n28
SPLUS,209.208,1.359,2000,SPLUS-n02n44
SPLUS,173.888,-1.359,2000,SPLUS-n02s18
SPLUS,175.246,-1.359,2000,SPLUS-n02s19
SPLUS,176.604,-1.359,2000,SPLUS-n02s20
SPLUS,177.963,-1.359,2000,SPLUS-n02s21
SPLUS,179.321,-1.359,2000,SPLUS-n02s22
SPLUS,180.679,-1.359,2000,SPLUS-n02s23
SPLUS,182.038,-1.359,2000,SPLUS-n02s24
SPLUS,183.396,-1.359,2000,SPLUS-n02s25
SPLUS,184.754,-1.359,2000,SPLUS-n02s26
SPLUS,186.113,-1.359,2000,SPLUS-n02s27
SPLUS,187.471,-1.359,2000,SPLUS-n02s28
SPLUS,199.700,-1.359,2000,SPLUS-n02s37
SPLUS,201.058,-1.359,2000,SPLUS-n02s38
SPLUS,209.208,-1.359,2000,SPLUS-n02s44
SPLUS,150.792,2.717,2000,SPLUS-n03n01
SPLUS,173.888,-2.717,2000,SPLUS-n03s18
SPLUS,175.246,-2.717,2000,SPLUS-n03s19
SPLUS,176.604,-2.717,2000,SPLUS-n03s20
SPLUS,177.963,-2.717,2000,SPLUS-n03s21
SPLUS,179.321,-2.717,2000,SPLUS-n03s22
SPLUS,180.679,-2.717,2000,SPLUS-n03s23
SPLUS,182.038,-2.717,2000,SPLUS-n03s24
SPLUS,183.396,-2.717,2000,SPLUS-n03s25
SPLUS,184.754,-2.717,2000,SPLUS-n03s26
SPLUS,186.113,-2.717,2000,SPLUS-n03s27
SPLUS,187.471,-2.717,2000,SPLUS-n03s28
SPLUS,207.850,-2.717,2000,SPLUS-n03s43
SPLUS,209.208,-2.717,2000,SPLUS-n03s44
SPLUS,150.792,4.074,2000,SPLUS-n04n01
SPLUS,205.133,-4.074,2000,SPLUS-n04s41
SPLUS,206.492,-4.074,2000,SPLUS-n04s42
SPLUS,207.850,-4.074,2000,SPLUS-n04s43
SPLUS,209.208,-4.074,2000,SPLUS-n04s44
SPLUS,216.817,5.429,2000,SPLUS-n05n50
SPLUS,220.908,5.429,2000,SPLUS-n05n53
SPLUS,223.638,5.429,2000,SPLUS-n05n55
SPLUS,150.000,-5.429,2000,SPLUS-n05s01
SPLUS,151.363,-5.429,2000,SPLUS-n05s02
SPLUS,152.729,-5.429,2000,SPLUS-n05s03
SPLUS,207.271,-5.429,2000,SPLUS-n05s43
SPLUS,208.638,-5.429,2000,SPLUS-n05s44
SPLUS,210.000,-5.429,2000,SPLUS-n05s45
SPLUS,150.000,-6.783,2000,SPLUS-n06s01
SPLUS,151.363,-6.783,2000,SPLUS-n06s02
SPLUS,152.729,-6.783,2000,SPLUS-n06s03
SPLUS,203.183,-6.783,2000,SPLUS-n06s40
SPLUS,204.546,-6.783,2000,SPLUS-n06s41
SPLUS,205.908,-6.783,2000,SPLUS-n06s42
SPLUS,207.271,-6.783,2000,SPLUS-n06s43
SPLUS,208.638,-6.783,2000,SPLUS-n06s44
SPLUS,210.000,-6.783,2000,SPLUS-n06s45
SPLUS,150.571,-8.135,2000,SPLUS-n07s01
SPLUS,151.938,-8.135,2000,SPLUS-n07s02
SPLUS,153.308,-8.135,2000,SPLUS-n07s03
SPLUS,201.217,-8.135,2000,SPLUS-n07s38
SPLUS,202.588,-8.135,2000,SPLUS-n07s39
SPLUS,203.954,-8.135,2000,SPLUS-n07s40
SPLUS,205.325,-8.135,2000,SPLUS-n07s41
SPLUS,206.692,-8.135,2000,SPLUS-n07s42
SPLUS,208.063,-8.135,2000,SPLUS-n07s43
SPLUS,209.429,-8.135,2000,SPLUS-n07s44
SPLUS,151.146,-9.486,2000,SPLUS-n08s01
SPLUS,152.521,-9.486,2000,SPLUS-n08s02
SPLUS,153.892,-9.486,2000,SPLUS-n08s03
SPLUS,200.613,-9.486,2000,SPLUS-n08s37
SPLUS,201.983,-9.486,2000,SPLUS-n08s38
SPLUS,203.358,-9.486,2000,SPLUS-n08s39
SPLUS,204.733,-9.486,2000,SPLUS-n08s40
SPLUS,206.108,-9.486,2000,SPLUS-n08s41
SPLUS,207.479,-9.486,2000,SPLUS-n08s42
SPLUS,150.346,-10.836,2000,SPLUS-n09s01
SPLUS,198.621,-10.836,2000,SPLUS-n09s36
SPLUS,200.000,-10.836,2000,SPLUS-n09s37
SPLUS,201.379,-10.836,2000,SPLUS-n09s38
SPLUS,202.758,-10.836,2000,SPLUS-n09s39
SPLUS,204.138,-10.836,2000,SPLUS-n09s40
SPLUS,205.517,-10.836,2000,SPLUS-n09s41
SPLUS,206.896,-10.836,2000,SPLUS-n09s42
SPLUS,208.275,-10.836,2000,SPLUS-n09s43
SPLUS,209.654,-10.836,2000,SPLUS-n09s44
SPLUS,150.925,-12.184,2000,SPLUS-n10s01
SPLUS,173.075,-12.184,2000,SPLUS-n10s17
SPLUS,196.617,-12.184,2000,SPLUS-n10s34
SPLUS,198.000,-12.184,2000,SPLUS-n10s35
SPLUS,199.383,-12.184,2000,SPLUS-n10s36
SPLUS,200.771,-12.184,2000,SPLUS-n10s37
SPLUS,202.154,-12.184,2000,SPLUS-n10s38
SPLUS,203.538,-12.184,2000,SPLUS-n10s39
SPLUS,204.925,-12.184,2000,SPLUS-n10s40
SPLUS,206.308,-12.184,2000,SPLUS-n10s41
SPLUS,207.692,-12.184,2000,SPLUS-n10s42
SPLUS,209.075,-12.184,2000,SPLUS-n10s43
SPLUS,150.117,-13.531,2000,SPLUS-n11s01
SPLUS,151.504,-13.531,2000,SPLUS-n11s02
SPLUS,152.896,-13.531,2000,SPLUS-n11s03
SPLUS,184.867,-13.531,2000,SPLUS-n11s26
SPLUS,187.646,-13.531,2000,SPLUS-n11s28
SPLUS,189.033,-13.531,2000,SPLUS-n11s29
SPLUS,190.425,-13.531,2000,SPLUS-n11s30
SPLUS,194.596,-13.531,2000,SPLUS-n11s33
SPLUS,195.983,-13.531,2000,SPLUS-n11s34
SPLUS,197.375,-13.531,2000,SPLUS-n11s35
SPLUS,200.154,-13.531,2000,SPLUS-n11s37
SPLUS,201.546,-13.531,2000,SPLUS-n11s38
SPLUS,202.933,-13.531,2000,SPLUS-n11s39
SPLUS,204.325,-13.531,2000,SPLUS-n11s40
SPLUS,205.713,-13.531,2000,SPLUS-n11s41
SPLUS,207.104,-13.531,2000,SPLUS-n11s42
SPLUS,208.496,-13.531,2000,SPLUS-n11s43
SPLUS,209.883,-13.531,2000,SPLUS-n11s44
SPLUS,151.283,-14.876,2000,SPLUS-n12s01
SPLUS,152.683,-14.876,2000,SPLUS-n12s02
SPLUS,156.888,-14.876,2000,SPLUS-n12s05
SPLUS,182.100,-14.876,2000,SPLUS-n12s23
SPLUS,183.500,-14.876,2000,SPLUS-n12s24
SPLUS,184.904,-14.876,2000,SPLUS-n12s25
SPLUS,186.304,-14.876,2000,SPLUS-n12s26
SPLUS,187.704,-14.876,2000,SPLUS-n12s27
SPLUS,189.104,-14.876,2000,SPLUS-n12s28
SPLUS,190.504,-14.876,2000,SPLUS-n12s29
SPLUS,191.908,-14.876,2000,SPLUS-n12s30
SPLUS,193.308,-14.876,2000,SPLUS-n12s31
SPLUS,194.708,-14.876,2000,SPLUS-n12s32
SPLUS,196.108,-14.876,2000,SPLUS-n12s33
SPLUS,197.508,-14.876,2000,SPLUS-n12s34
SPLUS,198.913,-14.876,2000,SPLUS-n12s35
SPLUS,200.313,-14.876,2000,SPLUS-n12s36
SPLUS,201.713,-14.876,2000,SPLUS-n12s37
SPLUS,203.113,-14.876,2000,SPLUS-n12s38
SPLUS,204.513,-14.876,2000,SPLUS-n12s39
SPLUS,205.913,-14.876,2000,SPLUS-n12s40
SPLUS,207.317,-14.876,2000,SPLUS-n12s41
SPLUS,208.717,-14.876,2000,SPLUS-n12s42
SPLUS,150.471,-16.220,2000,SPLUS-n13s01
SPLUS,151.875,-16.220,2000,SPLUS-n13s02
SPLUS,153.283,-16.220,2000,SPLUS-n13s03
SPLUS,154.688,-16.220,2000,SPLUS-n13s04
SPLUS,156.096,-16.220,2000,SPLUS-n13s05
SPLUS,157.500,-16.220,2000,SPLUS-n13s06
SPLUS,158.908,-16.220,2000,SPLUS-n13s07
SPLUS,192.658,-16.220,2000,SPLUS-n13s31
SPLUS,194.063,-16.220,2000,SPLUS-n13s32
SPLUS,195.471,-16.220,2000,SPLUS-n13s33
SPLUS,150.238,-17.562,2000,SPLUS-n14s01
SPLUS,151.654,-17.562,2000,SPLUS-n14s02
SPLUS,153.071,-17.562,2000,SPLUS-n14s03
SPLUS,154.488,-17.562,2000,SPLUS-n14s04
SPLUS,155.904,-17.562,2000,SPLUS-n14s05
SPLUS,157.321,-17.562,2000,SPLUS-n14s06
SPLUS,158.742,-17.562,2000,SPLUS-n14s07
SPLUS,160.158,-17.562,2000,SPLUS-n14s08
SPLUS,161.575,-17.562,2000,SPLUS-n14s09
SPLUS,162.992,-17.562,2000,SPLUS-n14s10
SPLUS,165.825,-17.562,2000,SPLUS-n14s12
SPLUS,168.663,-17.562,2000,SPLUS-n14s14
SPLUS,170.079,-17.562,2000,SPLUS-n14s15
SPLUS,175.750,-17.562,2000,SPLUS-n14s19
SPLUS,180.000,-17.562,2000,SPLUS-n14s22
SPLUS,192.754,-17.562,2000,SPLUS-n14s31
SPLUS,194.175,-17.562,2000,SPLUS-n14s32
SPLUS,195.592,-17.562,2000,SPLUS-n14s33
SPLUS,150.000,-18.903,2000,SPLUS-n15s01
SPLUS,151.429,-18.903,2000,SPLUS-n15s02
SPLUS,152.858,-18.903,2000,SPLUS-n15s03
SPLUS,154.288,-18.903,2000,SPLUS-n15s04
SPLUS,155.713,-18.903,2000,SPLUS-n15s05
SPLUS,157.142,-18.903,2000,SPLUS-n15s06
SPLUS,158.571,-18.903,2000,SPLUS-n15s07
SPLUS,160.000,-18.903,2000,SPLUS-n15s08
SPLUS,161.429,-18.903,2000,SPLUS-n15s09
SPLUS,162.858,-18.903,2000,SPLUS-n15s10
SPLUS,164.288,-18.903,2000,SPLUS-n15s11
SPLUS,165.713,-18.903,2000,SPLUS-n15s12
SPLUS,167.142,-18.903,2000,SPLUS-n15s13
SPLUS,168.571,-18.903,2000,SPLUS-n15s14
SPLUS,170.000,-18.903,2000,SPLUS-n15s15
SPLUS,171.429,-18.903,2000,SPLUS-n15s16
SPLUS,172.858,-18.903,2000,SPLUS-n15s17
SPLUS,174.288,-18.903,2000,SPLUS-n15s18
SPLUS,175.713,-18.903,2000,SPLUS-n15s19
SPLUS,177.142,-18.903,2000,SPLUS-n15s20
SPLUS,178.571,-18.903,2000,SPLUS-n15s21
SPLUS,180.000,-18.903,2000,SPLUS-n15s22
SPLUS,192.858,-18.903,2000,SPLUS-n15s31
SPLUS,194.288,-18.903,2000,SPLUS-n15s32
SPLUS,195.713,-18.903,2000,SPLUS-n15s33
SPLUS,151.200,-20.243,2000,SPLUS-n16s01
SPLUS,152.642,-20.243,2000,SPLUS-n16s02
SPLUS,154.079,-20.243,2000,SPLUS-n16s03
SPLUS,155.521,-20.243,2000,SPLUS-n16s04
SPLUS,156.958,-20.243,2000,SPLUS-n16s05
SPLUS,158.400,-20.243,2000,SPLUS-n16s06
SPLUS,159.842,-20.243,2000,SPLUS-n16s07
SPLUS,161.279,-20.243,2000,SPLUS-n16s08
SPLUS,162.721,-20.243,2000,SPLUS-n16s09
SPLUS,164.158,-20.243,2000,SPLUS-n16s10
SPLUS,165.600,-20.243,2000,SPLUS-n16s11
SPLUS,167.042,-20.243,2000,SPLUS-n16s12
SPLUS,168.479,-20.243,2000,SPLUS-n16s13
SPLUS,169.921,-20.243,2000,SPLUS-n16s14
SPLUS,171.358,-20.243,2000,SPLUS-n16s15
SPLUS,172.800,-20.243,2000,SPLUS-n16s16
SPLUS,174.242,-20.243,2000,SPLUS-n16s17
SPLUS,175.679,-20.243,2000,SPLUS-n16s18
SPLUS,177.121,-20.243,2000,SPLUS-n16s19
SPLUS,178.558,-20.243,2000,SPLUS-n16s20
SPLUS,180.000,-20.243,2000,SPLUS-n16s21
SPLUS,150.967,-21.581,2000,SPLUS-n17s01
SPLUS,152.421,-21.581,2000,SPLUS-n17s02
SPLUS,153.871,-21.581,2000,SPLUS-n17s03
SPLUS,155.321,-21.581,2000,SPLUS-n17s04
SPLUS,156.775,-21.581,2000,SPLUS-n17s05
SPLUS,158.225,-21.581,2000,SPLUS-n17s06
SPLUS,159.679,-21.581,2000,SPLUS-n17s07
SPLUS,161.129,-21.581,2000,SPLUS-n17s08
SPLUS,162.579,-21.581,2000,SPLUS-n17s09
SPLUS,164.033,-21.581,2000,SPLUS-n17s10
SPLUS,165.483,-21.581,2000,SPLUS-n17s11
SPLUS,166.938,-21.581,2000,SPLUS-n17s12
SPLUS,168.388,-21.581,2000,SPLUS-n17s13
SPLUS,169.838,-21.581,2000,SPLUS-n17s14
SPLUS,171.292,-21.581,2000,SPLUS-n17s15
SPLUS,172.742,-21.581,2000,SPLUS-n17s16
SPLUS,174.192,-21.581,2000,SPLUS-n17s17
SPLUS,175.646,-21.581,2000,SPLUS-n17s18
SPLUS,177.096,-21.581,2000,SPLUS-n17s19
SPLUS,178.550,-21.581,2000,SPLUS-n17s20
SPLUS,180.000,-21.581,2000,SPLUS-n17s21
SPLUS,223.550,-21.581,2000,SPLUS-n17s51
SPLUS,163.904,-22.917,2000,SPLUS-n18s10
SPLUS,165.367,-22.917,2000,SPLUS-n18s11
SPLUS,166.829,-22.917,2000,SPLUS-n18s12
SPLUS,168.292,-22.917,2000,SPLUS-n18s13
SPLUS,169.754,-22.917,2000,SPLUS-n18s14
SPLUS,171.221,-22.917,2000,SPLUS-n18s15
SPLUS,172.683,-22.917,2000,SPLUS-n18s16
SPLUS,174.146,-22.917,2000,SPLUS-n18s17
SPLUS,175.608,-22.917,2000,SPLUS-n18s18
SPLUS,177.075,-22.917,2000,SPLUS-n18s19
SPLUS,178.538,-22.917,2000,SPLUS-n18s20
SPLUS,180.000,-22.917,2000,SPLUS-n18s21
SPLUS,223.904,-22.917,2000,SPLUS-n18s51
SPLUS,165.000,-24.254,2000,SPLUS-n19s01
SPLUS,167.950,-24.254,2000,SPLUS-n19s03
SPLUS,169.425,-24.254,2000,SPLUS-n19s04
SPLUS,170.900,-24.254,2000,SPLUS-n19s05
SPLUS,172.375,-24.254,2000,SPLUS-n19s06
SPLUS,173.850,-24.254,2000,SPLUS-n19s07
SPLUS,214.088,-25.590,2000,SPLUS-n20s34
SPLUS,215.575,-25.590,2000,SPLUS-n20s35
SPLUS,223.013,-25.590,2000,SPLUS-n20s40
SPLUS,324.679,-1.359,2000,SPLUS-s02s01
SPLUS,326.038,-1.359,2000,SPLUS-s02s02
SPLUS,327.396,-1.359,2000,SPLUS-s02s03
SPLUS,328.754,-1.359,2000,SPLUS-s02s04
SPLUS,330.113,-1.359,2000,SPLUS-s02s05
SPLUS,331.471,-1.359,2000,SPLUS-s02s06
SPLUS,332.829,-1.359,2000,SPLUS-s02s07
SPLUS,334.188,-1.359,2000,SPLUS-s02s08
SPLUS,335.546,-1.359,2000,SPLUS-s02s09
SPLUS,336.904,-1.359,2000,SPLUS-s02s10
SPLUS,338.263,-1.359,2000,SPLUS-s02s11
SPLUS,339.621,-1.359,2000,SPLUS-s02s12
SPLUS,340.979,-1.359,2000,SPLUS-s02s13
SPLUS,343.700,-1.359,2000,SPLUS-s02s15
SPLUS,345.058,-1.359,2000,SPLUS-s02s16
SPLUS,349.133,-1.359,2000,SPLUS-s02s19
SPLUS,350.492,-1.359,2000,SPLUS-s02s20
SPLUS,351.850,-1.359,2000,SPLUS-s02s21
SPLUS,353.208,-1.359,2000,SPLUS-s02s22
SPLUS,354.567,-1.359,2000,SPLUS-s02s23
SPLUS,355.925,-1.359,2000,SPLUS-s02s24
SPLUS,357.283,-1.359,2000,SPLUS-s02s25
SPLUS,358.642,-1.359,2000,SPLUS-s02s26
SPLUS,324.679,-2.717,2000,SPLUS-s03s01
SPLUS,327.396,-2.717,2000,SPLUS-s03s03
SPLUS,328.754,-2.717,2000,SPLUS-s03s04
SPLUS,330.113,-2.717,2000,SPLUS-s03s05
SPLUS,347.346,-16.220,2000,SPLUS-s13s46
SPLUS,315.000,-21.581,2000,SPLUS-s17s22
SPLUS,316.450,-21.581,2000,SPLUS-s17s23
SPLUS,326.613,-21.581,2000,SPLUS-s17s30
SPLUS,316.096,-22.917,2000,SPLUS-s18s22
SPLUS,317.563,-22.917,2000,SPLUS-s18s23
SPLUS,324.879,-22.917,2000,SPLUS-s18s28
SPLUS,315.554,-24.252,2000,SPLUS-s19s22
SPLUS,317.038,-24.252,2000,SPLUS-s19s23
SPLUS,318.517,-24.252,2000,SPLUS-s19s24
SPLUS,331.850,-24.252,2000,SPLUS-s19s33
SPLUS,333.333,-24.252,2000,SPLUS-s19s34
SPLUS,315.188,-25.585,2000,SPLUS-s20s22
SPLUS,316.679,-25.585,2000,SPLUS-s20s23
SPLUS,318.175,-25.585,2000,SPLUS-s20s24
SPLUS,319.667,-25.585,2000,SPLUS-s20s25
SPLUS,330.125,-25.585,2000,SPLUS-s20s32
SPLUS,331.617,-25.585,2000,SPLUS-s20s33
SPLUS,333.113,-25.585,2000,SPLUS-s20s34
SPLUS,334.604,-25.585,2000,SPLUS-s20s35
SPLUS,339.088,-25.585,2000,SPLUS-s20s38
SPLUS,13.613,-26.917,2000,SPLUS-s21s10
SPLUS,316.133,-26.917,2000,SPLUS-s21s21
SPLUS,317.646,-26.917,2000,SPLUS-s21s22
SPLUS,319.158,-26.917,2000,SPLUS-s21s23
SPLUS,320.671,-26.917,2000,SPLUS-s21s24
