PID,NAME,RA,DEC,RA_d,DEC_d,Removed
STRIPE82,STRIPE82_0076,3:29:46,+00:42:00,52.44166667,0.7,0
STRIPE82,STRIPE82_0077,3:35:26,-0:42:00,53.85833333,-0.7,0
STRIPE82,STRIPE82_0078,3:35:26,+00:42:00,53.85833333,0.7,0
STRIPE82,STRIPE82_0079,3:41:06,-0:42:00,55.275,-0.7,0
STRIPE82,STRIPE82_0080,3:41:06,+00:42:00,55.275,0.7,0
STRIPE82,STRIPE82_0081,3:46:46,-0:42:00,56.69166667,-0.7,0
STRIPE82,STRIPE82_0082,3:46:46,+00:42:00,56.69166667,0.7,0
STRIPE82,STRIPE82_0083,3:52:26,-0:42:00,58.10833333,-0.7,0
STRIPE82,STRIPE82_0084,3:52:26,+00:42:00,58.10833333,0.7,0
STRIPE82,STRIPE82_0085,3:58:07,-0:42:00,59.52916667,-0.7,0
STRIPE82,STRIPE82_0086,3:58:07,+00:42:00,59.52916667,0.7,0
STRIPE82,STRIPE82_0087,20:01:53,-0:42:00,300.4708333,-0.7,0
STRIPE82,STRIPE82_0088,20:01:53,+00:42:00,300.4708333,0.7,0
STRIPE82,STRIPE82_0089,20:07:34,-0:42:00,301.8916667,-0.7,0
STRIPE82,STRIPE82_0090,20:07:34,+00:42:00,301.8916667,0.7,0
STRIPE82,STRIPE82_0091,20:13:14,-0:42:00,303.3083333,-0.7,0
STRIPE82,STRIPE82_0092,20:13:14,+00:42:00,303.3083333,0.7,0
STRIPE82,STRIPE82_0093,20:18:54,-0:42:00,304.725,-0.7,0
STRIPE82,STRIPE82_0094,20:18:54,+00:42:00,304.725,0.7,0
STRIPE82,STRIPE82_0095,20:24:34,-0:42:00,306.1416667,-0.7,0
STRIPE82,STRIPE82_0096,20:24:34,+00:42:00,306.1416667,0.7,0
STRIPE82,STRIPE82_0097,20:30:14,-0:42:00,307.5583333,-0.7,0
STRIPE82,STRIPE82_0098,20:30:14,+00:42:00,307.5583333,0.7,0
STRIPE82,STRIPE82_0099,20:35:54,-0:42:00,308.975,-0.7,0
STRIPE82,STRIPE82_0100,20:35:54,+00:42:00,308.975,0.7,0
