iDR5_Field_Name,Field,NAME,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
SPLUS-s42s22,SPLUS-s42s22,SPLUS-s42s22,Calibration_iDR5_3_Main,19.7081,19.0734,19.0614,19.9267,20.0364,22.426,20.3915,22.607,20.1064,22.4307,20.7246,21.884
SPLUS-s42s23,SPLUS-s42s23,SPLUS-s42s23,Calibration_iDR5_3_Main,19.7161,19.0982,19.0718,19.9492,20.054,22.4368,20.4035,22.6116,20.1138,22.4333,20.7211,21.8813
SPLUS-s42s24,SPLUS-s42s24,SPLUS-s42s24,Calibration_iDR5_3_Main,19.7073,19.0984,19.0741,19.9212,20.0167,22.383,20.3496,22.5835,20.0868,22.396,20.7069,21.8056
SPLUS-s42s25,SPLUS-s42s25,SPLUS-s42s25,Calibration_iDR5_3_Main,19.7012,19.0737,19.0469,19.9151,20.0153,22.3941,20.3603,22.5756,20.0838,22.3819,20.6946,21.7792
SPLUS-s42s26,SPLUS-s42s26,SPLUS-s42s26,Calibration_iDR5_3_Main,19.7841,19.1498,19.1208,19.9679,20.0564,22.4188,20.3824,22.6126,20.1172,22.4352,20.7328,21.8608
SPLUS-s42s27,SPLUS-s42s27,SPLUS-s42s27,Calibration_iDR5_3_Main,19.8299,19.1923,19.1753,20.0468,20.149,22.5082,20.4714,22.6593,20.1512,22.4498,20.7403,21.8535
SPLUS-s42s28,SPLUS-s42s28,SPLUS-s42s28,Calibration_iDR5_3_Main,19.7997,19.1597,19.1428,19.9971,20.1008,22.4629,20.4227,22.6249,20.1275,22.429,20.719,21.8504
SPLUS-s42s29,SPLUS-s42s29,SPLUS-s42s29,Calibration_iDR5_3_Main,19.8021,19.18,19.1636,20.0317,20.1269,22.4879,20.4417,22.6417,20.1418,22.4389,20.7264,21.864
SPLUS-s42s30,SPLUS-s42s30,SPLUS-s42s30,Calibration_iDR5_3_Main,19.8347,19.1956,19.1739,20.05,20.1562,22.5089,20.4645,22.6564,20.1455,22.4519,20.7334,21.8773
SPLUS-s42s31,SPLUS-s42s31,SPLUS-s42s31,Calibration_iDR5_3_Main,19.8289,19.1844,19.1591,20.0319,20.1326,22.4981,20.4555,22.6517,20.1478,22.4515,20.7373,21.8815
SPLUS-s42s32,SPLUS-s42s32,SPLUS-s42s32,Calibration_iDR5_3_Main,19.7525,19.1256,19.1103,19.9682,20.0713,22.4448,20.4077,22.6211,20.1208,22.4323,20.7269,21.8597
SPLUS-s42s33,SPLUS-s42s33,SPLUS-s42s33,Calibration_iDR5_3_Main,19.8461,19.2081,19.1837,20.0445,20.1418,22.4935,20.4541,22.6529,20.1486,22.4531,20.7417,21.88
SPLUS-s42s34,SPLUS-s42s34,SPLUS-s42s34,Calibration_iDR5_3_Main,20.0616,19.4606,19.5046,20.4961,20.6583,22.9236,20.8452,22.8236,20.3155,22.6,20.8533,22.0302
SPLUS-s42s51,SPLUS-s42s51,SPLUS-s42s51,Calibration_iDR5_3_Main,19.6924,19.1077,19.1335,20.0127,20.1507,22.519,20.4812,22.6762,20.1727,22.4868,20.7585,21.944
SPLUS-s43s19,SPLUS-s43s19,SPLUS-s43s19,Calibration_iDR5_3_Main,19.6531,19.0105,19.0056,19.8713,19.9793,22.3656,20.338,22.5655,20.0691,22.3991,20.6918,21.8458
SPLUS-s43s20,SPLUS-s43s20,SPLUS-s43s20,Calibration_iDR5_3_Main,19.686,19.052,19.0514,19.9074,20.0171,22.399,20.3632,22.5896,20.0966,22.4298,20.723,21.883
