iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
HYDRA-0011,HYDRA-0011,HYDRA_0011,single,-0.36735,-0.3603,-0.30763,-0.30208,-0.31281,-0.29539,-0.28272,-0.24202,-0.22771,-0.23053,-0.22164,-0.24397
HYDRA_0012,HYDRA-0012,HYDRA_0012,single,-0.43337,-0.36229,-0.35754,-0.3268,-0.32889,-0.30713,-0.28209,-0.25292,-0.27578,-0.2292,-0.25853,-0.24768
HYDRA_0013,HYDRA-0013,HYDRA_0013,single,-0.51231,-0.48348,-0.45958,-0.53331,-0.40391,-0.29958,-0.30557,-0.25886,-0.32811,-0.22273,-0.31132,-0.2458
HYDRA_0014,HYDRA-0014,HYDRA_0014,single,-0.43083,-0.40203,-0.38904,-0.40202,-0.39844,-0.36403,-0.33731,-0.29757,-0.29379,-0.26751,-0.30689,-0.29394
HYDRA_0015,HYDRA-0015,HYDRA_0015,single,-0.56972,-0.50896,-0.49035,-0.52685,-0.52245,-0.50591,-0.51887,-0.41375,-0.52714,-0.41341,-0.3991,-0.45392
HYDRA_0016,HYDRA-0016,HYDRA_0016,single,-0.67062,-0.63451,-0.63019,-0.62415,-0.61308,-0.617,-0.65878,-0.6808,-0.68827,-0.74098,-0.49555,-0.62722
HYDRA_0017,HYDRA-0017,HYDRA_0017,single,-0.59559,-0.6048,-0.65165,-0.69122,-0.65845,-0.63267,-0.66685,-0.66526,-0.72523,-0.5707,-0.63663,-0.53525
HYDRA_0018,HYDRA-0018,HYDRA_0018,single,-0.3526,-0.31425,-0.29689,-0.29787,-0.2769,-0.24727,-0.24337,-0.56727,-0.53138,-0.43292,-0.63749,-0.46242
HYDRA_0019,HYDRA-0019,HYDRA_0019,single,-0.66872,-0.65032,-0.64861,-0.64983,-0.60451,-0.54557,-0.58294,-0.52384,-0.60126,-0.46666,-0.47592,-0.42152
HYDRA_0020,HYDRA-0020,HYDRA_0020,single,-0.44444,-0.36962,-0.36376,-0.38834,-0.44995,-0.36204,-0.36069,-0.32009,-0.31425,-0.29365,-0.28965,-0.31876
HYDRA-0021,HYDRA-0021,HYDRA_0021,single,-0.36091,-0.36618,-0.38855,-0.40181,-0.35883,-0.29841,-0.34505,-0.26488,-0.2412,-0.2495,-0.22832,-0.26394
HYDRA_0022,HYDRA-0022,HYDRA_0022,single,-0.51657,-0.39812,-0.38958,-0.39523,-0.38044,-0.31844,-0.33335,-0.31825,-0.38231,-0.26759,-0.32094,-0.38429
HYDRA_0023,HYDRA-0023,HYDRA_0023,single,-0.54924,-0.44136,-0.42979,-0.43499,-0.42113,-0.38053,-0.40346,-0.29711,-0.26023,-0.26565,-0.29564,-0.26507
HYDRA_0024,HYDRA-0024,HYDRA_0024,single,-0.46897,-0.50225,-0.44811,-0.42951,-0.41161,-0.39726,-0.38037,-0.37155,-0.34511,-0.30824,-0.28719,-0.32681
HYDRA_0025,HYDRA-0025,HYDRA_0025,single,-0.43088,-0.5118,-0.47538,-0.45521,-0.46577,-0.3972,-0.39569,-0.35243,-0.30729,-0.32628,-0.30524,-0.36481
HYDRA_0026,HYDRA-0026,HYDRA_0026,single,-0.44002,-0.34895,-0.3344,-0.52036,-0.32658,-0.30932,-0.30949,-0.26918,-0.27053,-0.22017,-0.22532,-0.23427
HYDRA_0027,HYDRA-0027,HYDRA_0027,single,-0.55474,-0.52496,-0.56783,-0.57583,-0.63459,-0.51239,-0.48959,-0.33905,-0.46189,-0.36651,-0.56528,-0.46457
HYDRA_0028,HYDRA-0028,HYDRA_0028,single,-0.50264,-0.53218,-0.40007,-0.39789,-0.42039,-0.36152,-0.35724,-0.30196,-0.3488,-0.2615,-0.32701,-0.29725
HYDRA_0029,HYDRA-0029,HYDRA_0029,single,-0.4594,-0.46421,-0.43339,-0.48225,-0.46219,-0.43993,-0.46355,-0.41439,-0.38841,-0.35486,-0.3109,-0.37408
HYDRA_0030,HYDRA-0030,HYDRA_0030,single,-0.46867,-0.44249,-0.41265,-0.41457,-0.3925,-0.3571,-0.35914,-0.29916,-0.30883,-0.25829,-0.26373,-0.26523
HYDRA-0031,HYDRA-0031,HYDRA_0031,single,-0.64825,-0.41151,-0.39066,-0.37146,-0.36845,-0.35887,-0.52643,-0.34253,-0.31813,-0.26652,-0.27447,-0.27962
HYDRA_0032,HYDRA-0032,HYDRA_0032,single,-0.45336,-0.25465,-0.26982,-0.54678,-0.44536,-0.43734,-0.43341,-0.36645,-0.34012,-0.3309,-0.30438,-0.33661
HYDRA_0033,HYDRA-0033,HYDRA_0033,single,-0.38018,-0.41019,-0.37425,-0.38835,-0.37214,-0.36292,-0.32877,-0.2972,-0.34612,-0.27197,-0.2744,-0.28158
HYDRA_0034,HYDRA-0034,HYDRA_0034,single,-0.41151,-0.39586,-0.41928,-0.37792,-0.35778,-0.31493,-0.29957,-0.27956,-0.29484,-0.2487,-0.27873,-0.26075
HYDRA-0035,HYDRA-0035,HYDRA_0035,single,-0.39053,-0.36862,-0.37591,-0.32571,-0.30229,-0.27928,-0.24677,-0.23187,-0.25329,-0.2018,-0.25974,-0.24306
HYDRA-0036,HYDRA-0036,HYDRA_0036,single,-0.38323,-0.41609,-0.41665,-0.40354,-0.41584,-0.28138,-0.33988,-0.25933,-0.33338,-0.2277,-0.2957,-0.26079
HYDRA-0037,HYDRA-0037,HYDRA_0037,single,-0.39836,-0.40673,-0.49293,-0.47606,-0.44482,-0.32718,-0.36547,-0.28481,-0.29273,-0.24956,-0.24939,-0.26385
HYDRA_0038,HYDRA-0038,HYDRA_0038,single,-0.47999,-0.51283,-0.49091,-0.48861,-0.50102,-0.47246,-0.45067,-0.3901,-0.37809,-0.37031,-0.41291,-0.40493
HYDRA-0039,HYDRA-0039,HYDRA_0039,single,-0.56488,-0.53972,-0.46282,-0.43973,-0.38978,-0.43535,-0.34384,-0.41411,-0.2969,-0.34837,-0.26024,-0.34587
HYDRA_0040,HYDRA-0040,HYDRA_0040,single,-0.51174,-0.18555,-0.28211,-0.49496,-0.44258,-0.42942,-0.46367,-0.36525,-0.32936,-0.31935,-0.31799,-0.32303
HYDRA-0041,HYDRA-0041,HYDRA_0041,single,-0.45405,-0.51843,-0.48598,-0.48573,-0.46708,-0.38273,-0.41315,-0.34079,-0.4307,-0.34177,-0.3832,-0.33228
HYDRA_0042,HYDRA-0042,HYDRA_0042,single,-0.41796,-0.41104,-0.43374,-0.43943,-0.48514,-0.58238,-0.4942,-0.43036,-0.42296,-0.4521,-0.42458,-0.36689
HYDRA_0043,HYDRA-0043,HYDRA_0043,single,-0.60301,-0.58332,-0.57194,-0.60773,-0.61931,-0.60562,-0.60166,-0.52291,-0.48579,-0.4782,-0.47761,-0.53308
HYDRA-0044,HYDRA-0044,HYDRA_0044,single,-0.41165,-0.40545,-0.40182,-0.40574,-0.39691,-0.33833,-0.36926,-0.29899,-0.41286,-0.26307,-0.32868,-0.28464
HYDRA-0045,HYDRA-0045,HYDRA_0045,single,-0.45112,-0.37745,-0.34917,-0.33186,-0.32994,-0.32925,-0.29421,-0.27293,-0.25494,-0.24419,-0.24577,-0.26059
HYDRA_0046,HYDRA-0046,HYDRA_0046,single,-0.97265,-0.59038,-0.56583,-0.58449,-0.43417,-0.45557,-0.40184,-0.34085,-0.28445,-0.24031,-0.2583,-0.26133
HYDRA_0047,HYDRA-0047,HYDRA_0047,single,-0.31384,-0.34996,-0.36955,-0.43013,-0.40165,-0.37261,-0.34958,-0.32399,-0.2933,-0.2768,-0.28151,-0.27653
HYDRA-0048,HYDRA-0048,HYDRA_0048,single,-0.38732,-0.37603,-0.38229,-0.35197,-0.35365,-0.33463,-0.31413,-0.27767,-0.30049,-0.22774,-0.25633,-0.24876
HYDRA_0049,HYDRA-0049,HYDRA_0049,single,-0.36875,-0.34022,-0.31164,-0.30427,-0.29036,-0.27833,-0.25918,-0.26234,-0.28443,-0.23628,-0.27434,-0.24943
HYDRA-0050,HYDRA-0050,HYDRA_0050,single,-0.35006,-0.36679,-0.35243,-0.3394,-0.34331,-0.30177,-0.29077,-0.29716,-0.25858,-0.25671,-0.2745,-0.26453
HYDRA_0051,HYDRA-0051,HYDRA_0051,single,-0.44678,-0.40645,-0.41549,-0.42874,-0.44851,-0.45645,-0.38653,-0.36257,-0.31455,-0.31785,-0.29746,-0.31185
HYDRA-0052,HYDRA-0052,HYDRA_0052,single,-0.33058,-0.44056,-0.4355,-0.4735,-0.44569,-0.29774,-0.40522,-0.29202,-0.37617,-0.26839,-0.32579,-0.32072
HYDRA-0053,HYDRA-0053,HYDRA_0053,single,-0.37963,-0.3745,-0.37407,-0.38889,-0.36056,-0.29371,-0.37307,-0.26449,-0.30277,-0.23708,-0.26388,-0.24976
HYDRA_0054,HYDRA-0054,HYDRA_0054,single,-0.44162,-0.44196,-0.4784,-0.40692,-0.41337,-0.39229,-0.37836,-0.35928,-0.29815,-0.28129,-0.27238,-0.27525
HYDRA-0055,HYDRA-0055,HYDRA_0055,single,-0.43261,-0.55677,-0.48462,-0.44412,-0.39385,-0.33275,-0.33932,-0.28154,-0.31315,-0.29057,-0.27902,-0.3102
HYDRA-0056,HYDRA-0056,HYDRA_0056,single,-0.40713,-0.38214,-0.3628,-0.34521,-0.35374,-0.32346,-0.31252,-0.28631,-0.27024,-0.27331,-0.25263,-0.28253
HYDRA_0057,HYDRA-0057,HYDRA_0057,single,-0.17958,-0.07393,-0.1169,-0.44922,-0.45156,-0.47418,-0.43693,-0.37968,-0.36409,-0.36051,-0.28975,-0.34927
HYDRA_0058,HYDRA-0058,HYDRA_0058,single,-0.32726,-0.31204,-0.37598,-0.38581,-0.38435,-0.37294,-0.35063,-0.29952,-0.278,-0.28819,-0.23612,-0.27342
HYDRA_0059,HYDRA-0059,HYDRA_0059,single,-0.52004,-0.44621,-0.45078,-0.46247,-0.51399,-0.4693,-0.45731,-0.36961,-0.37057,-0.36177,-0.31928,-0.37482
HYDRA_0060,HYDRA-0060,HYDRA_0060,single,-0.31245,-0.33248,-0.3027,-0.2963,-0.29226,-0.25803,-0.26024,-0.21885,-0.38046,-0.20296,-0.26718,-0.24342
HYDRA-0061,HYDRA-0061,HYDRA_0061,single,-0.39205,-0.41445,-0.34512,-0.37643,-0.31572,-0.33187,-0.31114,-0.27163,-0.28114,-0.24342,-0.27115,-0.27055
HYDRA-0062,HYDRA-0062,HYDRA_0062,single,-0.53797,-0.40184,-0.41304,-0.39531,-0.38206,-0.30756,-0.36324,-0.31666,-0.36675,-0.31565,-0.26269,-0.31936
HYDRA_0063,HYDRA-0063,HYDRA_0063,single,-0.5362,-0.47545,-0.42557,-0.42949,-0.42214,-0.42151,-0.40852,-0.37341,-0.41345,-0.30513,-0.30848,-0.30464
HYDRA-0064,HYDRA-0064,HYDRA_0064,single,-0.41657,-0.45112,-0.54329,-0.47831,-0.44336,-0.35359,-0.38305,-0.31298,-0.48583,-0.28593,-0.49506,-0.31733
HYDRA_0065,HYDRA-0065,HYDRA_0065,single,-0.66443,-1.01457,-0.152,-0.62284,-0.59056,-0.50798,-0.6803,-0.5488,-0.58472,-0.59323,-0.39992,-0.47472
HYDRA_0066,HYDRA-0066,HYDRA_0066,single,-0.41899,-0.42863,-0.38902,-0.40385,-0.41814,-0.32718,-0.40234,-0.2396,-0.25718,-0.32438,-0.23029,-0.28476
HYDRA_0067,HYDRA-0067,HYDRA_0067,single,-0.44412,-0.46927,-0.59472,-0.5299,-0.50136,-0.41443,-0.4314,-0.41296,-0.38689,-0.33636,-0.32246,-0.35862
HYDRA_0068,HYDRA-0068,HYDRA_0068,single,-0.4083,-0.38365,-0.40039,-0.46126,-0.397,-0.48363,-0.39404,-0.39388,-0.40927,-0.34589,-0.30736,-0.3696
HYDRA-0069,HYDRA-0069,HYDRA_0069,single,-0.41436,-0.39883,-0.37815,-0.37592,-0.40532,-0.34338,-0.32376,-0.28777,-0.28283,-0.25841,-0.25188,-0.27293
HYDRA-0070,HYDRA-0070,HYDRA_0070,single,-0.43276,-0.39313,-0.31576,-0.30054,-0.28293,-0.39721,-0.26596,-0.30533,-0.27422,-0.26285,-0.29505,-0.29321
HYDRA_0071,HYDRA-0071,HYDRA_0071,single,-0.46229,-0.7033,-0.45897,-0.46242,-0.43796,-0.35819,-0.36334,-0.31618,-0.31273,-0.26489,-0.27067,-0.29502
HYDRA_0072,HYDRA-0072,HYDRA_0072,single,-0.58407,-0.57354,-0.57591,-0.6018,-0.60177,-0.50039,-0.59089,-0.49118,-0.51945,-0.41169,-0.34647,-0.42277
HYDRA_0073,HYDRA-0073,HYDRA_0073,single,-0.44364,-0.44715,-0.4224,-0.36407,-0.35459,-0.37215,-0.35127,-0.30587,-0.33916,-0.24977,-0.27618,-0.27801
HYDRA_0074,HYDRA-0074,HYDRA_0074,single,-0.42983,-0.36572,-0.39042,-0.38747,-0.38376,-0.35631,-0.33587,-0.29368,-0.36531,-0.27046,-0.2768,-0.29002
HYDRA-0075,HYDRA-0075,HYDRA_0075,single,-0.58823,-0.54141,-0.49915,-0.47999,-0.43614,-0.28769,-0.34003,-0.25558,-0.26928,-0.22051,-0.29375,-0.25674
HYDRA_0076,HYDRA-0076,HYDRA_0076,single,-0.36276,-0.33861,-0.34018,-0.31374,-0.29484,-0.26751,-0.25609,-0.22106,-0.21255,-0.21188,-0.20052,-0.22145
HYDRA-0077,HYDRA-0077,HYDRA_0077,single,-0.35722,-0.34514,-0.40388,-0.35131,-0.34332,-0.2804,-0.29056,-0.25849,-0.27074,-0.22515,-0.23568,-0.23425
HYDRA_0078,HYDRA-0078,HYDRA_0078,single,-0.4185,-0.38235,-0.41652,-0.44768,-0.51604,-0.41098,-0.44769,-0.29375,-0.34503,-0.26077,-0.32752,-0.28815
HYDRA_0079,HYDRA-0079,HYDRA_0079,single,-0.34645,-0.34274,-0.33787,-0.33573,-0.3218,-0.29019,-0.28832,-0.25389,-0.26409,-0.22814,-0.26906,-0.24815
HYDRA_0080,HYDRA-0080,HYDRA_0080,single,-0.50303,-0.40366,-0.35982,-0.35427,-0.32149,-0.28747,-0.29558,-0.26239,-0.26048,-0.2305,-0.22222,-0.25317
HYDRA_0081,HYDRA-0081,HYDRA_0081,single,-0.66122,-0.62565,-0.50072,-0.42074,-0.66267,-0.64529,-0.76809,-0.47323,-0.51309,-0.40595,-0.35618,-0.45534
HYDRA_0082,HYDRA-0082,HYDRA_0082,single,-0.49271,-0.41603,-0.38563,-0.374,-0.36061,-0.29148,-0.3033,-0.26664,-0.25872,-0.2246,-0.22159,-0.2325
HYDRA_0083,HYDRA-0083,HYDRA_0083,single,-0.78658,-0.67289,-0.61475,-0.58992,-0.50078,-0.48203,-0.50074,-0.40711,-0.39679,-0.37468,-0.47527,-0.40388
HYDRA-0084,HYDRA-0084,HYDRA_0084,single,-0.46683,-0.43078,-0.40599,-0.40435,-0.38925,-0.34503,-0.33794,-0.32618,-0.32398,-0.26501,-0.3076,-0.29187
HYDRA-0085,HYDRA-0085,HYDRA_0085,single,-0.55514,-0.48855,-0.67055,-0.54729,-0.49396,-0.45816,-0.51015,-0.43259,-0.32887,-0.39342,-0.35106,-0.32359
HYDRA-0086,HYDRA-0086,HYDRA_0086,single,-0.55983,-0.43405,-0.42648,-0.4474,-0.42854,-0.49166,-0.39065,-0.40768,-0.46538,-0.30719,-0.3936,-0.31492
HYDRA_0087,HYDRA-0087,HYDRA_0087,single,-0.5196,-0.56321,-0.5244,-0.46155,-0.45301,-0.45599,-0.42416,-0.42509,-0.47519,-0.37971,-0.33135,-0.37879
HYDRA_0088,HYDRA-0088,HYDRA_0088,single,-0.46397,-0.34758,-0.30466,-0.30247,-0.2985,-0.3011,-0.30326,-0.26972,-0.29154,-0.21549,-0.32077,-0.22658
HYDRA_0089,HYDRA-0089,HYDRA_0089,single,-0.48288,-0.42197,-0.52063,-0.42588,-0.38918,-0.39569,-0.37148,-0.60947,-0.30045,-0.36133,-0.27405,-0.29944
HYDRA_0091,HYDRA-0091,HYDRA_0091,single,-0.46075,-0.42226,-0.48036,-0.43412,-0.45505,-0.39433,-0.36152,-0.30288,-0.4442,-0.26028,-0.37321,-0.30963
HYDRA_0092,HYDRA-0092,HYDRA_0092,single,-0.37886,-0.50541,-0.53309,-0.5322,-0.49018,-0.38502,-0.44003,-0.34979,-0.31684,-0.29603,-0.27298,-0.30818
HYDRA-0093,HYDRA-0093,HYDRA_0093,single,-0.33122,-0.30219,-0.31215,-0.27636,-0.28945,-0.24939,-0.25788,-0.20351,-0.23836,-0.18783,-0.24319,-0.2117
HYDRA_0094,HYDRA-0094,HYDRA_0094,single,-0.42143,-0.35082,-0.34892,-0.34159,-0.32842,-0.33877,-0.33172,-0.27639,-0.23997,-0.35674,-0.21403,-0.24559
HYDRA-0095,HYDRA-0095,HYDRA_0095,single,-0.67022,-0.45164,-0.43749,-0.40833,-0.39131,-0.44491,-0.36235,-0.37077,-0.36778,-0.36269,-0.30899,-0.37033
HYDRA-0096,HYDRA-0096,HYDRA_0096,single,-0.8135,-0.53192,-0.52367,-0.50996,-0.44316,-0.53074,-0.39056,-0.4416,-0.3194,-0.3767,-0.25007,-0.34584
HYDRA_0097,HYDRA-0097,HYDRA_0097,single,-0.59511,-0.78786,-0.77034,-0.66606,-0.84118,-0.67792,-0.67155,-0.57731,-0.64539,-0.45783,-0.59819,-0.46525
HYDRA_0098,HYDRA-0098,HYDRA_0098,single,-0.43661,-0.45652,-0.42789,-0.42659,-0.4255,-0.38661,-0.4191,-0.26869,-0.29882,-0.29337,-0.31443,-0.33927
HYDRA_0099,HYDRA-0099,HYDRA_0099,single,-0.58848,-0.51179,-0.45312,-0.45914,-0.50091,-0.51249,-0.53233,-0.5783,-0.45278,-0.43301,-0.33507,-0.39349
HYDRA_0100,HYDRA-0100,HYDRA_0100,single,-0.38579,-0.37746,-0.36834,-0.37373,-0.38953,-0.31088,-0.30859,-0.29872,-0.25328,-0.31931,-0.24378,-0.34189
HYDRA_0101,HYDRA-0101,HYDRA_0101,single,-0.44838,-0.427,-0.42684,-0.50653,-0.42822,-0.3918,-0.37764,-0.32976,-0.30859,-0.2765,-0.29781,-0.28592
HYDRA-0102,HYDRA-0102,HYDRA_0102,single,-0.32428,-0.4009,-0.31582,-0.30926,-0.31405,-0.26583,-0.29169,-0.23932,-0.28108,-0.24894,-0.27958,-0.26633
HYDRA-0103,HYDRA-0103,HYDRA_0103,single,-0.63598,-0.49579,-0.55338,-0.45749,-0.42271,-0.45855,-0.4567,-0.34424,-0.34839,-0.33572,-0.34064,-0.33078
HYDRA-0104,HYDRA-0104,HYDRA_0104,single,-0.3694,-0.36199,-0.47892,-0.39792,-0.3379,-0.30315,-0.31506,-0.4316,-0.43029,-0.22245,-0.29542,-0.22833
HYDRA_0105,HYDRA-0105,HYDRA_0105,single,-0.42725,-0.41175,-0.45846,-0.39465,-0.38123,-0.34669,-0.31341,-0.33942,-0.37159,-0.2484,-0.33503,-0.29418
HYDRA_0106,HYDRA-0106,HYDRA_0106,single,-0.67127,-0.59864,-0.91543,-0.87072,-0.82038,-0.85722,-0.84901,-0.87686,-0.79611,-0.79129,-0.50164,-0.55099
HYDRA_0107,HYDRA-0107,HYDRA_0107,single,-0.79883,-0.73572,-0.684,-0.71355,-0.71666,-0.64581,-0.69274,-0.6423,-0.68637,-0.58865,-0.59381,-0.50092
HYDRA_0108,HYDRA-0108,HYDRA_0108,single,-0.55372,-0.47944,-0.46769,-0.36227,-0.38256,-0.3743,-0.35159,-0.34089,-0.37028,-0.30046,-0.35409,-0.35491
HYDRA_0109,HYDRA-0109,HYDRA_0109,single,-0.3236,-0.3137,-0.31597,-0.31352,-0.31519,-0.27781,-0.27273,-0.2618,-0.27595,-0.231,-0.24951,-0.25304
HYDRA_0110,HYDRA-0110,HYDRA_0110,single,-0.68144,-0.68409,-0.64906,-0.64749,-0.58078,-0.52548,-0.50564,-0.42506,-0.40603,-0.37432,-0.43228,-0.43833
HYDRA-0111,HYDRA-0111,HYDRA_0111,single,-0.37575,-0.39264,-0.47164,-0.42171,-0.39157,-0.39034,-0.33479,-0.39354,-0.29273,-0.30606,-0.34007,-0.30937
HYDRA-0112,HYDRA-0112,HYDRA_0112,single,-0.41102,-0.46089,-0.48176,-0.43687,-0.43621,-0.34573,-0.44954,-0.29016,-0.39089,-0.2688,-0.29713,-0.27772
HYDRA_0113,HYDRA-0113,HYDRA_0113,single,-0.09548,-0.43227,-0.4025,-0.39292,-0.38107,-0.35135,-0.33808,-0.30101,-0.29823,-0.26745,-0.28849,-0.28178
HYDRA_0114,HYDRA-0114,HYDRA_0114,single,-0.72091,-0.52736,-0.54963,-0.53846,-0.72885,-0.4949,-0.54168,-0.35208,-0.49281,-0.38011,-0.52879,-0.3894
HYDRA_0115,HYDRA-0115,HYDRA_0115,single,-0.54907,-0.46612,-0.44948,-0.4366,-0.43228,-0.41691,-0.37115,-0.33481,-0.30051,-0.31911,-0.30689,-0.31993
HYDRA_0116,HYDRA-0116,HYDRA_0116,single,-0.44171,-0.41458,-0.38408,-0.39915,-0.38883,-0.35575,-0.43649,-0.27543,-0.25606,-0.24409,-0.25773,-0.29162
HYDRA_0117,HYDRA-0117,HYDRA_0117,single,-0.5006,-0.46879,-0.46059,-0.42122,-0.46789,-0.39047,-0.44844,-0.38018,-0.39047,-0.48448,-0.41458,-0.42045
HYDRA_0118,HYDRA-0118,HYDRA_0118,single,-0.50592,-0.42344,-0.42732,-0.49996,-0.39635,-0.35709,-0.38001,-0.29571,-0.32723,-0.28438,-0.24212,-0.27579
HYDRA_0119,HYDRA-0119,HYDRA_0119,single,-0.47964,-0.48388,-0.42635,-0.39593,-0.37869,-0.36173,-0.35178,-0.58739,-0.32927,-0.54577,-0.32167,-0.31614
HYDRA-0120,HYDRA-0120,HYDRA_0120,single,-0.48835,-0.41309,-0.39863,-0.40152,-0.38949,-0.32812,-0.35851,-0.29779,-0.35306,-0.25918,-0.3051,-0.28437
HYDRA-0121,HYDRA-0121,HYDRA_0121,single,-0.57126,-0.38949,-0.40167,-0.40413,-0.43773,-0.4242,-0.35156,-0.33704,-0.35208,-0.24441,-0.30322,-0.23775
HYDRA_0122,HYDRA-0122,HYDRA_0122,single,-0.61866,-0.56627,-0.53707,-0.46574,-0.41807,-0.36495,-0.39201,-0.44199,-0.37349,-0.29734,-0.28271,-0.30668
HYDRA_0123,HYDRA-0123,HYDRA_0123,single,-0.53961,-0.52808,-0.47565,-0.48737,-0.42355,-0.4032,-0.38985,-0.33808,-0.26102,-0.25775,-0.2581,-0.27536
HYDRA_0124,HYDRA-0124,HYDRA_0124,single,-0.5339,-0.46812,-0.40783,-0.4227,-0.42339,-0.37416,-0.36414,-0.32742,-0.34981,-0.29144,-0.36744,-0.33393
HYDRA_0125,HYDRA-0125,HYDRA_0125,single,-0.51403,-0.52859,-0.55207,-0.53052,-0.53742,-0.4951,-0.50493,-0.49362,-0.54054,-0.42467,-0.4669,-0.46564
HYDRA_0126,HYDRA-0126,HYDRA_0126,single,-0.49903,-0.57811,-0.53718,-0.34314,-0.33592,-0.30096,-0.2967,-0.27484,-0.27277,-0.23797,-0.257,-0.24923
HYDRA_0127,HYDRA-0127,HYDRA_0127,single,-0.35598,-0.31499,-0.28141,-0.29233,-0.28487,-0.26313,-0.25655,-0.21314,-0.22433,-0.19021,-0.21159,-0.22537
HYDRA_0128,HYDRA-0128,HYDRA_0128,single,-0.50435,-0.40973,-0.35692,-0.37125,-0.35778,-0.53502,-0.33579,-0.32333,-0.28776,-0.24956,-0.31199,-0.30801
HYDRA-0129,HYDRA-0129,HYDRA_0129,single,-0.45509,-0.40391,-0.44371,-0.41287,-0.3773,-0.29179,-0.33346,-0.2565,-0.28476,-0.22871,-0.24095,-0.2488
HYDRA_0130,HYDRA-0130,HYDRA_0130,single,-0.50348,-0.44731,-0.44022,-0.40243,-0.38052,-0.34176,-0.32295,-0.24764,-0.24517,-0.24003,-0.23577,-0.24695
HYDRA_0131,HYDRA-0131,HYDRA_0131,single,-0.55166,-0.48097,-0.4479,-0.43199,-0.41588,-0.39152,-0.35245,-0.30492,-0.33263,-0.2727,-0.25434,-0.32125
HYDRA_0132,HYDRA-0132,HYDRA_0132,single,-0.46618,-0.49904,-0.38231,-0.38047,-0.37751,-0.32313,-0.32847,-0.27359,-0.55723,-0.39212,-0.36003,-0.50164
HYDRA_0133,HYDRA-0133,HYDRA_0133,single,-0.66058,-0.63474,-0.49891,-0.53773,-0.53307,-0.37684,-0.38603,-0.33452,-0.32129,-0.27795,-0.28704,-0.3055
HYDRA_0134,HYDRA-0134,HYDRA_0134,single,-0.48841,-0.45019,-0.45567,-0.42743,-0.42518,-0.37279,-0.39806,-0.36459,-0.34072,-0.31929,-0.26053,-0.29716
HYDRA_0135,HYDRA-0135,HYDRA_0135,single,-0.42403,-0.42194,-0.37823,-0.39469,-0.38308,-0.35409,-0.34536,-0.30909,-0.27983,-0.28246,-0.2495,-0.29188
HYDRA-0136,HYDRA-0136,HYDRA_0136,single,-0.65109,-0.53364,-0.51173,-0.47361,-0.39132,-0.44573,-0.35979,-0.35709,-0.33071,-0.30309,-0.2787,-0.37069
HYDRA-0137,HYDRA-0137,HYDRA_0137,single,-0.37134,-0.30198,-0.38248,-0.32319,-0.37032,-0.24121,-0.33112,-0.20273,-0.27067,-0.17348,-0.22443,-0.19466
HYDRA_0138,HYDRA-0138,HYDRA_0138,single,-0.64034,-0.48472,-0.44905,-0.42367,-0.40137,-0.38417,-0.37648,-0.32511,-0.3982,-0.27274,-0.25129,-0.27419
HYDRA_0139,HYDRA-0139,HYDRA_0139,single,-0.68457,-0.62488,-0.4759,-0.48243,-0.58597,-0.64585,-0.64257,-0.56009,-0.58804,-0.46826,-0.54305,-0.51409
HYDRA_0140,HYDRA-0140,HYDRA_0140,single,-0.49335,-0.47198,-0.48919,-0.47746,-0.94106,-0.89438,-0.9656,-0.87216,-0.97462,-0.77318,-0.78114,-0.76421
HYDRA_0141,HYDRA-0141,HYDRA_0141,single,-0.74125,-0.60731,-0.55281,-0.53172,-0.54827,-0.45737,-0.38406,-0.32059,-0.40819,-0.34449,-0.46577,-0.37784
HYDRA_0142,HYDRA-0142,HYDRA_0142,single,-0.45305,-0.39286,-0.35934,-0.35,-0.35116,-0.29313,-0.2947,-0.22818,-0.34568,-0.20362,-0.27565,-0.22814
HYDRA_0143,HYDRA-0143,HYDRA_0143,single,-0.42796,-0.41181,-0.39922,-0.37084,-0.35649,-0.41645,-0.40339,-0.3122,-0.31818,-0.26458,-0.2865,-0.29259
HYDRA_0144,HYDRA-0144,HYDRA_0144,single,-0.38695,-0.35638,-0.34858,-0.33869,-0.32154,-0.28668,-0.28269,-0.23999,-0.27065,-0.20935,-0.25028,-0.24011
HYDRA_0145,HYDRA-0145,HYDRA_0145,single,-0.46611,-0.43564,-0.39876,-0.39616,-0.36791,-0.34721,-0.36474,-0.33572,-0.30884,-0.26886,-0.24466,-0.2561
HYDRA_0146,HYDRA-0146,HYDRA_0146,single,-0.3688,-0.49946,-0.47895,-0.29858,-0.37486,-0.50277,-0.36352,-0.47874,-0.39926,-0.44201,-0.32641,-0.3976
HYDRA_0147,HYDRA-0147,HYDRA_0147,single,-0.77525,-0.48633,-0.42695,-0.43044,-0.39707,-0.35249,-0.34075,-0.28404,-0.32706,-0.25792,-0.37902,-0.28731
HYDRA_0148,HYDRA-0148,HYDRA_0148,single,-0.58097,-0.53949,-0.50799,-0.44363,-0.48353,-0.36427,-0.35114,-0.33319,-0.35816,-0.29515,-0.39681,-0.36592
