iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82_0043,STRIPE82-0043,STRIPE82_0043,single,-0.46657,-0.19614,-0.3976,-0.33467,-0.32958,-0.29896,-0.28871,-0.27773,-0.28187,-0.22917,-0.25182,-0.2584
STRIPE82-0044,STRIPE82-0044,STRIPE82_0044,single,-0.32476,-0.38262,-0.35501,-0.36572,-0.33897,-0.27134,-0.31537,-0.26882,-0.33025,-0.24176,-0.26907,-0.25492
STRIPE82-0045,STRIPE82-0045,STRIPE82_0045,single,-0.35309,-0.33768,-0.32108,-0.34629,-0.29395,-0.27547,-0.27596,-0.25498,-0.24127,-0.21391,-0.23064,-0.2451
STRIPE82-0046,STRIPE82-0046,STRIPE82_0046,single,-0.68202,-0.40668,-0.38157,-0.43977,-0.3234,-0.39945,-0.37445,-0.34161,-0.28622,-0.30563,-0.32031,-0.36434
STRIPE82-0047,STRIPE82-0047,STRIPE82_0047,single,-0.61238,-0.81758,-0.72908,-0.85591,-0.70053,-0.49216,-0.58489,-0.69101,-0.72894,-0.79357,-0.73086,-0.45312
STRIPE82_0048,STRIPE82-0048,STRIPE82_0048,single,-0.79181,-0.06439,-0.09063,-0.58226,-0.58128,-0.44167,-0.48896,-0.37299,-0.33951,-0.33882,-0.28429,-0.35132
STRIPE82_0049,STRIPE82-0049,STRIPE82_0049,single,-0.30101,-0.13274,-0.26977,-0.31254,-0.33647,-0.33252,-0.29418,-0.29331,-0.35747,-0.25028,-0.31091,-0.27089
STRIPE82-0050,STRIPE82-0050,STRIPE82_0050,single,-0.38548,-0.40595,-0.38483,-0.36181,-0.36551,-0.33087,-0.35535,-0.30731,-0.37624,-0.2643,-0.32853,-0.28762
STRIPE82-0051,STRIPE82-0051,STRIPE82_0051,single,-0.46295,-0.42583,-0.4125,-0.40061,-0.38554,-0.35502,-0.35106,-0.31848,-0.29763,-0.28574,-0.24439,-0.29556
STRIPE82-0052,STRIPE82-0052,STRIPE82_0052,single,-0.58248,-0.46075,-0.43578,-0.40706,-0.39027,-0.43304,-0.35252,-0.42344,-0.40994,-0.3394,-0.28807,-0.33191
STRIPE82-0053,STRIPE82-0053,STRIPE82_0053,single,-0.36102,-0.36508,-0.35326,-0.34486,-0.33431,-0.28351,-0.29832,-0.25304,-0.27451,-0.23426,-0.25126,-0.25866
STRIPE82_0054,STRIPE82-0054,STRIPE82_0054,single,-0.7444,-0.63831,-0.64608,-0.54945,-0.5856,-0.46539,-0.4303,-0.47482,-0.44879,-0.38365,-0.37374,-0.37907
STRIPE82_0055,STRIPE82-0055,STRIPE82_0055,single,-0.65907,-0.50112,-0.51041,-0.61703,-0.51332,-0.48334,-0.48661,-0.49795,-0.52873,-0.4673,-0.40654,-0.42562
