,RA_ICRS,DE_ICRS,source_id,SPLUS_F378_mod,SPLUS_F395_mod,SPLUS_F410_mod,SPLUS_F430_mod,SPLUS_G_mod,SPLUS_F515_mod,SPLUS_R_mod,SPLUS_F660_mod,SPLUS_I_mod,SPLUS_F861_mod,SPLUS_Z_mod
105,0.69695657526,-0.89296383675,2449662055001037568,20.179527518287223,20.012641349261067,19.611390662414486,19.20285205240571,18.43832064793306,18.514695061563494,17.27160840852593,17.1046093417959,16.85559042026265,16.702369622378804,16.647513916303318
106,0.60823001016,-0.82661817346,2449663498110027648,18.289505498783008,18.691650390803552,17.583711685137168,17.40978686146982,16.77519272456086,16.643831910909448,15.953958486987453,15.854315844384764,15.680527332576581,15.58070419397992,15.547693752947815
107,0.4458565215,-0.87456217422,2449665216096935936,18.026721640149326,18.294384213069982,17.582982241624244,17.567954398700373,17.032042528862497,16.84303604662656,16.38138380948039,16.287042487637045,16.146897447675833,16.078278757758845,16.032752072975292
108,0.58514012591,-0.81180070259,2449666521767003008,18.69688788785347,18.971487396510092,17.866087772546543,18.001739300427722,17.443123540944008,17.273405896319396,16.90126110285484,16.833223719439566,16.72552962713005,16.679699971622888,16.61869114495132
109,0.49030362356,-0.7778915596,2449667724357843456,19.5206457315251,21.029987884146216,18.90659260979762,19.13188990953045,18.234969477058122,18.228470292816915,17.258618331227076,17.106964256368023,16.922586166156456,16.8050577275991,16.748630391771123
110,0.70998726421,-0.87473444946,2449667964876287872,18.719589657223118,18.257280072286925,18.054373937590334,17.97371192380023,17.72905381540601,17.612380896282083,17.387225832580206,17.448022210206766,17.267483043314023,17.21745118313276,17.223887978489124
111,0.69878001138,-0.86782363828,2449668033595513216,18.420549848039663,18.24875362156559,18.29683932231378,18.141608947448297,17.92418021597272,17.842861856698924,17.59188320319982,17.518676486241112,17.453306656318254,17.43166922705587,17.40096377476528
112,0.70872729949,-0.83504443104,2449668377192896640,15.299584543934465,15.2410956002037,14.749251895793783,14.698096456285732,14.384337911418804,14.230873052531855,13.972201321722984,13.941290258404258,13.859118833660212,13.845761055049529,13.82914939285127
113,0.70648138479,-0.81944359451,2449668823869505792,,20.623192642396127,20.30984574712432,19.800217800269543,18.851502561349726,18.53664575886399,17.41560671328397,17.024307562054254,16.371228049717267,16.01564355931503,15.905650046958506
114,0.7141218694,-0.82336315772,2449668823869506176,,20.46261923772891,19.442560990391378,19.617883324303044,18.568059298674406,18.471629480301793,17.47125989730703,17.321325833883172,17.057877732314005,16.89502239336837,16.847646672262492
115,0.74018690364,-0.79902992126,2449668961308459136,15.170692253168632,15.018945173317398,14.360802929291445,14.293927796826829,13.817642943010576,13.65686707412069,13.211831136982688,13.143035722861505,13.01990238083247,12.969787606479905,12.942294220575612
116,0.7080684729,-0.81608307697,2449669579783771520,13.86895235519713,13.56501378373445,12.91302180290463,12.750636648839254,12.273046989343506,12.102423182438834,11.675522454248274,11.620275134181206,11.536873903626535,11.511178062528238,11.48975361152727
117,0.73444445705,-0.77825002109,2449669747286209152,15.335174998309064,15.277188724374334,14.735498358290876,14.665544033394518,14.276739972161856,14.095275643425303,13.782604397892975,13.71830198897127,13.620550853795287,13.589848794770695,13.561604118206539
118,0.80287631287,-0.79049061628,2449670335697994496,21.06610980233574,19.17982317643682,18.43243170231124,18.25003044629593,17.6134422868897,17.532446352390927,16.762650954567015,16.637583476726512,16.4619988214855,16.357669284174428,16.315141112650416
119,0.79140219787,-0.77062853822,2449670541856423680,15.209718089221262,15.1750571667638,14.708214393515654,14.667451437389282,14.334792496421137,14.165312117180243,13.896187233754567,13.856829381840917,13.758414190484778,13.730904058843755,13.713341614726666
120,0.83492069967,-0.7269301423,2449671194691452160,19.58815106232705,20.92579195302087,18.441317034946657,18.880339001222602,17.610793860957777,17.38777152703127,16.220256123564006,15.823880470073597,15.03140422565388,14.64518986511775,14.52200568461108
121,0.78217390384,-0.74472285766,2449671400849882112,15.554751553461067,15.395888033410479,14.788903270112932,14.747112289854975,14.337130151759688,14.164571495972687,13.830228566306324,13.79106688083835,13.696501858223023,13.678131358924539,13.65473073781218
122,0.81274994528,-0.71766587806,2449671911950057856,,22.154874990578485,20.129860199767386,19.924649797007753,18.94179001414917,19.144756483745063,17.649056644996925,17.436272210396034,17.129322245652084,16.941801496943974,16.87936700519564
123,0.7197573963,-0.68514574665,2449675352220044032,,19.614548656744326,20.121040112796614,19.50150507404748,18.65298460448738,18.518897573400146,17.57155566368349,17.379208708639275,17.14684905618882,16.97752944344814,16.920375861364626
124,359.42877953501,-1.53823458157,2449687137609901184,18.14892599688431,17.63721599197101,17.084696736109684,17.056388090241562,16.506510290710573,16.307245220685196,15.879609619619508,15.79680389386089,15.686844694667435,15.636783387059815,15.59856038465896
125,359.43390136352,-1.5299723041,2449687515567023104,19.44808043415174,19.679776127767262,18.56540984794338,18.456418513366692,17.15397274145119,16.934217757657073,15.7201939470906,15.303420191476356,14.523804091961203,14.131331870329241,14.008293374165596
126,359.55301100244,-1.52735923491,2449688030963122944,20.354305051598836,,19.630728038587755,19.61321260526747,18.26827553150708,18.085168067176305,16.78839917996286,16.288467591654047,15.365799922538123,14.90519299004665,14.747098564059492
127,359.60346890079,-1.51982317692,2449688271481291776,17.39922307927558,17.355712049916015,16.703773690875032,16.648093535867666,16.205623804463166,16.03906987343894,15.631219593221623,15.562410663993653,15.446426447878956,15.408045612568863,15.369206028669332
128,359.52861241498,-1.48873418052,2449689023099272960,14.230251712395791,14.140800469438311,13.671164198361701,13.604058612768362,13.316479473377221,13.16465343073964,12.928953045073094,12.907763065200207,12.832235609768723,12.835126170162589,12.818417162901262
129,359.38709714535,-1.5183769905,2449690333065558528,16.713192989212793,16.411417861130154,15.713742768393608,15.52810275074473,14.940440581917748,14.74813210778057,14.204512734121074,14.13046332431184,14.001677428389634,13.940633474152428,13.911116993860567
130,359.39879829153,-1.50140000351,2449690745382429568,16.513243272759247,16.384958318545067,15.89096741267641,15.820632544051612,15.498965637488617,15.361742294115594,15.075386441037828,15.039503955777157,14.951642318077369,14.943903740020566,14.916235236496696
131,359.39877000756,-1.48373765444,2449690848461644544,15.577479716253954,15.651423743492735,14.799252097122086,14.691631683119219,14.090577137188369,13.859990067902352,13.349044132103195,13.254227775557233,13.074527565256751,12.985515575935132,12.943231306147162
