iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,Ref_mag_inst
MC0041,MC0041,MC,MC0041,5:41:27,-68:25:56,85.3625,-68.43222222,JYPE,psf,psf
MC0042,MC0042,MC,MC0042,5:56:17,-68:25:56,89.07083333,-68.43222222,JYPE,psf,psf
MC0043,MC0043,MC,MC0043,6:11:08,-68:25:56,92.78333333,-68.43222222,JYPE,psf,psf
MC0044,MC0044,MC,MC0044,6:25:59,-68:25:56,96.49583333,-68.43222222,JYPE,all,psf
MC0049,MC0049,MC,MC0049,1:19:07,-69:42:20,19.77916667,-69.70555556,JYPE,all,psf
MC0050,MC0050,MC,MC0050,1:34:57,-69:42:20,23.7375,-69.70555556,JYPE,all,psf
MC0052,MC0052,MC,MC0052,2:06:36,-69:42:20,31.65,-69.70555556,JYPE,all,psf
MC0060,MC0060,MC,MC0060,4:13:11,-69:42:20,63.29583333,-69.70555556,JYPE,all,psf
MC0061,MC0061,MC,MC0061,4:29:01,-69:42:20,67.25416667,-69.70555556,JYPE,all,psf
MC0063,MC0063,MC,MC0063,5:00:40,-69:42:20,75.16666667,-69.70555556,JYPE,psf,psf
MC0067,MC0067,MC,MC0067,6:03:57,-69:42:20,90.9875,-69.70555556,JYPE,psf,psf
MC0085,MC0085,MC,MC0085,4:44:39,-70:58:02,71.1625,-70.96722222,JYPE,psf,psf
MC0086,MC0086,MC,MC0086,5:01:24,-70:58:02,75.35,-70.96722222,JYPE,psf,psf
MC0087,MC0087,MC,MC0087,5:18:08,-70:58:02,79.53333333,-70.96722222,JYPE,psf,psf
MC0088,MC0088,MC,MC0088,5:34:53,-70:58:02,83.72083333,-70.96722222,JYPE,psf,psf
MC0089,MC0089,MC,MC0089,5:51:38,-70:58:02,87.90833333,-70.96722222,JYPE,psf,psf
MC0090,MC0090,MC,MC0090,6:08:22,-70:58:02,92.09166667,-70.96722222,JYPE,psf,psf
MC0091,MC0091,MC,MC0091,6:25:07,-70:58:02,96.27916667,-70.96722222,JYPE,all,psf
MC0095,MC0095,MC,MC0095,1:11:07,-72:13:10,17.77916667,-72.21944444,JYPE,psf,psf
MC0109,MC0109,MC,MC0109,5:20:00,-72:13:10,80.0,-72.21944444,JYPE,psf,psf
MC0110,MC0110,MC,MC0110,5:37:47,-72:13:10,84.44583333,-72.21944444,JYPE,psf,psf
MC0111,MC0111,MC,MC0111,5:55:33,-72:13:10,88.8875,-72.21944444,JYPE,psf,psf
MC0112,MC0112,MC,MC0112,6:13:20,-72:13:10,93.33333333,-72.21944444,JYPE,psf,psf
MC0130,MC0130,MC,MC0130,5:41:03,-73:27:42,85.2625,-73.46166667,JYPE,psf,psf
MC0131,MC0131,MC,MC0131,6:00:00,-73:27:42,90.0,-73.46166667,JYPE,psf,psf
MC0132,MC0132,MC,MC0132,6:18:57,-73:27:42,94.7375,-73.46166667,JYPE,all,psf
MC0149,MC0149,MC,MC0149,5:49:43,-74:41:33,87.42916667,-74.6925,JYPE,psf,psf
MC0150,MC0150,MC,MC0150,6:10:17,-74:41:33,92.57083333,-74.6925,JYPE,all,psf
SPLUS-d023,SPLUS-d023,SPLUS,SPLUS-d023,7:04:33,-9:54:05,106.1375,-9.901388889,JYPE,psf,psf
SPLUS-d024,SPLUS-d024,SPLUS,SPLUS-d024,7:10:17,-9:54:05,107.5708333,-9.901388889,JYPE,psf,psf
SPLUS-d025,SPLUS-d025,SPLUS,SPLUS-d025,7:16:01,-9:54:05,109.0041667,-9.901388889,JYPE,psf,psf
SPLUS-d050,SPLUS-d050,SPLUS,SPLUS-d050,7:03:52,-12:42:58,105.9666667,-12.71611111,JYPE,psf,psf
SPLUS-d058,SPLUS-d058,SPLUS,SPLUS-d058,6:18:57,-14:07:15,94.7375,-14.12083333,JYPE,psf,psf
SPLUS-d073,SPLUS-d073,SPLUS,SPLUS-d073,6:20:29,-15:31:27,95.12083333,-15.52416667,JYPE,psf,psf
SPLUS-d090,SPLUS-d090,SPLUS,SPLUS-d090,6:29:30,-16:55:33,97.375,-16.92583333,JYPE,psf,psf
SPLUS-d261,SPLUS-d261,SPLUS,SPLUS-d261,8:10:55,-30:50:50,122.7291667,-30.84722222,JYPE,psf,psf
SPLUS-d282,SPLUS-d282,SPLUS,SPLUS-d282,6:59:09,-33:36:33,104.7875,-33.60916667,JYPE,psf,psf
SPLUS-d283,SPLUS-d283,SPLUS,SPLUS-d283,7:05:55,-33:36:33,106.4791667,-33.60916667,JYPE,psf,psf
SPLUS-d522,SPLUS-d522,SPLUS,SPLUS-d522,8:50:32,-59:19:43,132.6333333,-59.32861111,JYPE,psf,psf
SPLUS-n13s35,SPLUS-n13s35,SPLUS,SPLUS-n13s35,13:13:08,-16:13:11,198.2833333,-16.21972222,JYPE,all,dual
SPLUS-n18s17,SPLUS-n18s17,SPLUS,SPLUS-n18s17,11:36:35,-22:55:02,174.1458333,-22.91722222,JYPE,all,dual
SPLUS-n19s07,SPLUS-n19s07,SPLUS,SPLUS-n19s07,11:35:24,-24:15:13,173.85,-24.25361111,JYPE,all,dual
SPLUS-s19s22,SPLUS-s19s22,SPLUS,SPLUS-s19s22,21:02:13,-24:15:08,315.5541667,-24.25222222,JYPE,all,dual
SPLUS-s22s22,SPLUS-s22s22,SPLUS,SPLUS-s22s22,21:08:26,-28:14:50,317.1083333,-28.24722222,JYPE,all,dual
SPLUS-s22s23,SPLUS-s22s23,SPLUS,SPLUS-s22s23,21:14:33,-28:14:50,318.6375,-28.24722222,JYPE,all,dual
SPLUS-s23s01,SPLUS-s23s01,SPLUS,SPLUS-s23s01,0:00:04,-29:34:33,0.01666666667,-29.57583333,JYPE,all,dual
SPLUS-s23s04,SPLUS-s23s04,SPLUS,SPLUS-s23s04,0:18:37,-29:34:33,4.654166667,-29.57583333,JYPE,all,dual
SPLUS-s23s43,SPLUS-s23s43,SPLUS,SPLUS-s23s43,23:16:33,-29:34:33,349.1375,-29.57583333,JYPE,all,dual
SPLUS-s24s01,SPLUS-s24s01,SPLUS,SPLUS-s24s01,0:00:04,-30:54:08,0.01666666667,-30.90222222,JYPE,all,dual
SPLUS-s24s08,SPLUS-s24s08,SPLUS,SPLUS-s24s08,0:44:01,-30:54:08,11.00416667,-30.90222222,JYPE,all,dual
SPLUS-s24s16,SPLUS-s24s16,SPLUS,SPLUS-s24s16,1:34:19,-30:54:08,23.57916667,-30.90222222,JYPE,all,dual
SPLUS-s24s19,SPLUS-s24s19,SPLUS,SPLUS-s24s19,1:53:11,-30:54:08,28.29583333,-30.90222222,JYPE,all,dual
SPLUS-s24s21,SPLUS-s24s21,SPLUS,SPLUS-s24s21,2:05:46,-30:54:08,31.44166667,-30.90222222,JYPE,all,dual
SPLUS-s24s24,SPLUS-s24s24,SPLUS,SPLUS-s24s24,2:24:38,-30:54:08,36.15833333,-30.90222222,JYPE,all,dual
SPLUS-s24s26,SPLUS-s24s26,SPLUS,SPLUS-s24s26,2:37:12,-30:54:08,39.3,-30.90222222,JYPE,all,dual
SPLUS-s24s27,SPLUS-s24s27,SPLUS,SPLUS-s24s27,2:43:30,-30:54:08,40.875,-30.90222222,JYPE,all,dual
SPLUS-s24s28,SPLUS-s24s28,SPLUS,SPLUS-s24s28,2:49:47,-30:54:08,42.44583333,-30.90222222,JYPE,all,dual
SPLUS-s24s29,SPLUS-s24s29,SPLUS,SPLUS-s24s29,2:56:04,-30:54:08,44.01666667,-30.90222222,JYPE,all,dual
SPLUS-s24s31,SPLUS-s24s31,SPLUS,SPLUS-s24s31,3:08:39,-30:54:08,47.1625,-30.90222222,JYPE,all,dual
SPLUS-s24s34,SPLUS-s24s34,SPLUS,SPLUS-s24s34,3:27:31,-30:54:08,51.87916667,-30.90222222,JYPE,all,dual
SPLUS-s24s36,SPLUS-s24s36,SPLUS,SPLUS-s24s36,3:40:05,-30:54:08,55.02083333,-30.90222222,JYPE,all,dual
SPLUS-s24s37,SPLUS-s24s37,SPLUS,SPLUS-s24s37,3:46:23,-30:54:08,56.59583333,-30.90222222,JYPE,all,dual
SPLUS-s24s38,SPLUS-s24s38,SPLUS,SPLUS-s24s38,3:52:40,-30:54:08,58.16666667,-30.90222222,JYPE,all,dual
SPLUS-s24s39,SPLUS-s24s39,SPLUS,SPLUS-s24s39,3:58:57,-30:54:08,59.7375,-30.90222222,JYPE,all,dual
SPLUS-s24s40,SPLUS-s24s40,SPLUS,SPLUS-s24s40,4:05:14,-30:54:08,61.30833333,-30.90222222,JYPE,all,dual
SPLUS-s24s41,SPLUS-s24s41,SPLUS,SPLUS-s24s41,4:11:32,-30:54:08,62.88333333,-30.90222222,JYPE,all,dual
SPLUS-s24s42,SPLUS-s24s42,SPLUS,SPLUS-s24s42,4:17:49,-30:54:08,64.45416667,-30.90222222,JYPE,all,dual
SPLUS-s24s44,SPLUS-s24s44,SPLUS,SPLUS-s24s44,4:30:24,-30:54:08,67.6,-30.90222222,JYPE,all,dual
SPLUS-s24s45,SPLUS-s24s45,SPLUS,SPLUS-s24s45,4:36:41,-30:54:08,69.17083333,-30.90222222,JYPE,all,dual
SPLUS-s24s46,SPLUS-s24s46,SPLUS,SPLUS-s24s46,4:42:58,-30:54:08,70.74166667,-30.90222222,JYPE,all,dual
SPLUS-s24s47,SPLUS-s24s47,SPLUS,SPLUS-s24s47,4:49:15,-30:54:08,72.3125,-30.90222222,JYPE,all,dual
SPLUS-s24s58,SPLUS-s24s58,SPLUS,SPLUS-s24s58,22:00:31,-30:54:08,330.1291667,-30.90222222,JYPE,all,dual
SPLUS-s24s74,SPLUS-s24s74,SPLUS,SPLUS-s24s74,23:41:08,-30:54:08,355.2833333,-30.90222222,JYPE,all,dual
SPLUS-s24s75,SPLUS-s24s75,SPLUS,SPLUS-s24s75,23:47:25,-30:54:08,356.8541667,-30.90222222,JYPE,all,dual
SPLUS-s24s76,SPLUS-s24s76,SPLUS,SPLUS-s24s76,23:53:43,-30:54:08,358.4291667,-30.90222222,JYPE,all,dual
SPLUS-s25s21,SPLUS-s25s21,SPLUS,SPLUS-s25s21,2:07:26,-32:13:38,31.85833333,-32.22722222,JYPE,all,dual
SPLUS-s25s23,SPLUS-s25s23,SPLUS,SPLUS-s25s23,2:20:11,-32:13:38,35.04583333,-32.22722222,JYPE,all,dual
SPLUS-s25s24,SPLUS-s25s24,SPLUS,SPLUS-s25s24,2:26:33,-32:13:38,36.6375,-32.22722222,JYPE,all,dual
SPLUS-s25s26,SPLUS-s25s26,SPLUS,SPLUS-s25s26,2:39:18,-32:13:38,39.825,-32.22722222,JYPE,all,dual
SPLUS-s25s27,SPLUS-s25s27,SPLUS,SPLUS-s25s27,2:45:40,-32:13:38,41.41666667,-32.22722222,JYPE,all,dual
SPLUS-s25s28,SPLUS-s25s28,SPLUS,SPLUS-s25s28,2:52:02,-32:13:38,43.00833333,-32.22722222,JYPE,all,dual
SPLUS-s25s29,SPLUS-s25s29,SPLUS,SPLUS-s25s29,2:58:24,-32:13:38,44.6,-32.22722222,JYPE,all,dual
SPLUS-s25s34,SPLUS-s25s34,SPLUS,SPLUS-s25s34,3:30:16,-32:13:38,52.56666667,-32.22722222,JYPE,all,dual
SPLUS-s25s36,SPLUS-s25s36,SPLUS,SPLUS-s25s36,3:43:01,-32:13:38,55.75416667,-32.22722222,JYPE,all,dual
SPLUS-s25s37,SPLUS-s25s37,SPLUS,SPLUS-s25s37,3:49:23,-32:13:38,57.34583333,-32.22722222,JYPE,all,dual
SPLUS-s25s38,SPLUS-s25s38,SPLUS,SPLUS-s25s38,3:55:45,-32:13:38,58.9375,-32.22722222,JYPE,all,dual
SPLUS-s25s39,SPLUS-s25s39,SPLUS,SPLUS-s25s39,4:02:07,-32:13:38,60.52916667,-32.22722222,JYPE,all,dual
SPLUS-s25s40,SPLUS-s25s40,SPLUS,SPLUS-s25s40,4:08:30,-32:13:38,62.125,-32.22722222,JYPE,all,dual
SPLUS-s25s41,SPLUS-s25s41,SPLUS,SPLUS-s25s41,4:14:52,-32:13:38,63.71666667,-32.22722222,JYPE,all,dual
SPLUS-s25s42,SPLUS-s25s42,SPLUS,SPLUS-s25s42,4:21:14,-32:13:38,65.30833333,-32.22722222,JYPE,all,dual
SPLUS-s25s43,SPLUS-s25s43,SPLUS,SPLUS-s25s43,4:27:37,-32:13:38,66.90416667,-32.22722222,JYPE,all,dual
SPLUS-s25s46,SPLUS-s25s46,SPLUS,SPLUS-s25s46,4:46:44,-32:13:38,71.68333333,-32.22722222,JYPE,all,dual
SPLUS-s25s47,SPLUS-s25s47,SPLUS,SPLUS-s25s47,4:53:06,-32:13:38,73.275,-32.22722222,JYPE,all,dual
SPLUS-s25s48,SPLUS-s25s48,SPLUS,SPLUS-s25s48,4:59:28,-32:13:38,74.86666667,-32.22722222,JYPE,all,dual
SPLUS-s25s51,SPLUS-s25s51,SPLUS,SPLUS-s25s51,21:14:20,-32:13:38,318.5833333,-32.22722222,JYPE,all,dual
SPLUS-s26s24,SPLUS-s26s24,SPLUS,SPLUS-s26s24,2:28:31,-33:33:01,37.12916667,-33.55027778,JYPE,all,dual
SPLUS-s26s26,SPLUS-s26s26,SPLUS,SPLUS-s26s26,2:41:26,-33:33:01,40.35833333,-33.55027778,JYPE,all,dual
SPLUS-s26s37,SPLUS-s26s37,SPLUS,SPLUS-s26s37,3:52:28,-33:33:01,58.11666667,-33.55027778,JYPE,all,dual
SPLUS-s26s39,SPLUS-s26s39,SPLUS,SPLUS-s26s39,4:05:23,-33:33:01,61.34583333,-33.55027778,JYPE,all,dual
SPLUS-s26s47,SPLUS-s26s47,SPLUS,SPLUS-s26s47,4:57:02,-33:33:01,74.25833333,-33.55027778,JYPE,all,dual
SPLUS-s27s45,SPLUS-s27s45,SPLUS,SPLUS-s27s45,4:49:19,-34:52:18,72.32916667,-34.87166667,JYPE,all,dual
SPLUS-s27s46,SPLUS-s27s46,SPLUS,SPLUS-s27s46,4:55:53,-34:52:18,73.97083333,-34.87166667,JYPE,all,dual
SPLUS-s28s46,SPLUS-s28s46,SPLUS,SPLUS-s28s46,5:00:00,-36:11:28,75.0,-36.19111111,JYPE,all,dual
SPLUS-s28s47,SPLUS-s28s47,SPLUS,SPLUS-s28s47,21:00:00,-36:11:28,315.0,-36.19111111,JYPE,all,dual
SPLUS-s29s45,SPLUS-s29s45,SPLUS,SPLUS-s29s45,4:58:52,-37:30:31,74.71666667,-37.50861111,JYPE,all,dual
SPLUS-s31s58,SPLUS-s31s58,SPLUS,SPLUS-s31s58,22:42:44,-40:08:16,340.6833333,-40.13777778,JYPE,all,dual
SPLUS-s32s42,SPLUS-s32s42,SPLUS,SPLUS-s32s42,4:53:44,-41:26:57,73.43333333,-41.44916667,JYPE,all,dual
SPLUS-s33s42,SPLUS-s33s42,SPLUS,SPLUS-s33s42,4:59:42,-42:45:30,74.925,-42.75833333,JYPE,all,dual
SPLUS-s34s41,SPLUS-s34s41,SPLUS,SPLUS-s34s41,4:58:27,-44:03:55,74.6125,-44.06527778,JYPE,all,dual
SPLUS-s42s34,SPLUS-s42s34,SPLUS,SPLUS-s42s34,21:05:44,-54:25:34,316.4333333,-54.42611111,JYPE,all,dual
STRIPE82-0003,STRIPE82-0003,STRIPE82,STRIPE82_0003,0:05:40,-0:42:00,1.416666667,-0.7,JYPE,all,dual
STRIPE82-0004,STRIPE82-0004,STRIPE82,STRIPE82_0004,0:05:40,+00:42:00,1.416666667,0.7,JYPE,all,dual
STRIPE82-0005,STRIPE82-0005,STRIPE82,STRIPE82_0005,0:11:20,-0:42:00,2.833333333,-0.7,JYPE,all,dual
STRIPE82-0006,STRIPE82-0006,STRIPE82,STRIPE82_0006,0:11:20,+00:42:00,2.833333333,0.7,JYPE,all,dual
STRIPE82-0007,STRIPE82-0007,STRIPE82,STRIPE82_0007,0:17:00,-0:42:00,4.25,-0.7,JYPE,all,dual
STRIPE82-0009,STRIPE82-0009,STRIPE82,STRIPE82_0009,0:22:41,-0:42:00,5.670833333,-0.7,JYPE,all,dual
STRIPE82-0013,STRIPE82-0013,STRIPE82,STRIPE82_0013,0:34:01,-0:42:00,8.504166667,-0.7,JYPE,all,dual
STRIPE82-0015,STRIPE82-0015,STRIPE82,STRIPE82_0015,0:39:41,-0:42:00,9.920833333,-0.7,JYPE,all,dual
STRIPE82-0019,STRIPE82-0019,STRIPE82,STRIPE82_0019,0:51:01,-0:42:00,12.75416667,-0.7,JYPE,all,dual
STRIPE82-0021,STRIPE82-0021,STRIPE82,STRIPE82_0021,0:56:42,-0:42:00,14.175,-0.7,JYPE,all,dual
STRIPE82-0022,STRIPE82-0022,STRIPE82,STRIPE82_0022,0:56:42,+00:42:00,14.175,0.7,JYPE,all,dual
STRIPE82-0023,STRIPE82-0023,STRIPE82,STRIPE82_0023,1:02:22,-0:42:00,15.59166667,-0.7,JYPE,all,dual
STRIPE82-0024,STRIPE82-0024,STRIPE82,STRIPE82_0024,1:02:22,+00:42:00,15.59166667,0.7,JYPE,all,dual
STRIPE82-0027,STRIPE82-0027,STRIPE82,STRIPE82_0027,1:13:42,-0:42:00,18.425,-0.7,JYPE,all,dual
STRIPE82-0028,STRIPE82-0028,STRIPE82,STRIPE82_0028,1:13:42,+00:42:00,18.425,0.7,JYPE,all,dual
STRIPE82-0030,STRIPE82-0030,STRIPE82,STRIPE82_0030,1:19:22,+00:42:00,19.84166667,0.7,JYPE,all,dual
STRIPE82-0031,STRIPE82-0031,STRIPE82,STRIPE82_0031,1:25:02,-0:42:00,21.25833333,-0.7,JYPE,all,dual
STRIPE82-0033,STRIPE82-0033,STRIPE82,STRIPE82_0033,1:30:43,-0:42:00,22.67916667,-0.7,JYPE,all,dual
STRIPE82-0034,STRIPE82-0034,STRIPE82,STRIPE82_0034,1:30:43,+00:42:00,22.67916667,0.7,JYPE,all,dual
STRIPE82-0035,STRIPE82-0035,STRIPE82,STRIPE82_0035,1:36:23,-0:42:00,24.09583333,-0.7,JYPE,all,dual
STRIPE82-0036,STRIPE82-0036,STRIPE82,STRIPE82_0036,1:36:23,+00:42:00,24.09583333,0.7,JYPE,all,dual
